# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs103_216_0363.txt
# SPEC date/time stamp	Thu Jul 14 17:44:41 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657838681.843
# Rayonix Save date/time stamp	07/14 17:44:40.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 124529 110101 0 -4.61772 -48.0644 135 0 3.9397 0 101.638 185.117 46.9302 24.282 90 635.545 627.17 1527.96 105.771 105.638 105.739 26.4086 1422.75 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-17-3-try2/3-17-3-try2_hs103_216_0363.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1245.29000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	220202.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1011.9
# X-coordinate location of direct beam (mm)	84.96900
# Y-coordinate location of direct beam (mm)	86.00200
# X-coordinate location of direct beam (pix)	479.51
# Y-coordinate location of direct beam (pix)	485.34
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.083
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17734
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.3080622E-01	 1.3902266E-03	 1.7709251E-02	 3.1361756E-04	 1.2810609E-05	 1.3615292E-07	 2.2686629E-07	 2.4111662E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 1.5920073E+02	 1.6920073E+00	 1.2790145E-01	 1.3593542E-03	 7.2338516E-04	 7.6882372E-06	 1.7900000E+02
 8.9506186E-01	 1.3458593E-01	 1.3251879E-01	 1.4073522E-03	 1.8113372E-02	 3.2809425E-04	 1.3274493E-05	 1.4097539E-07	 2.4044584E-07	 2.5535397E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 1.6128504E+02	 1.7128504E+00	 1.2957598E-01	 1.3760996E-03	 7.3285600E-04	 7.7829456E-06	 1.8200000E+02
 9.0510309E-01	 1.3609575E-01	 1.3373647E-01	 1.4195290E-03	 1.8522053E-02	 3.4306643E-04	 1.3698725E-05	 1.4540341E-07	 2.5372851E-07	 2.6931695E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 1.6276705E+02	 1.7276705E+00	 1.3076663E-01	 1.3880060E-03	 7.3959002E-04	 7.8502858E-06	 2.0000000E+02
 9.1514433E-01	 1.3760557E-01	 1.3384180E-01	 1.4205824E-03	 1.8935292E-02	 3.5854527E-04	 1.4015383E-05	 1.4875775E-07	 2.6538536E-07	 2.8167714E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 1.6289525E+02	 1.7289525E+00	 1.3086962E-01	 1.3890359E-03	 7.4017254E-04	 7.8561110E-06	 1.8200000E+02
 9.2518557E-01	 1.3911538E-01	 1.3506634E-01	 1.4328277E-03	 1.9353090E-02	 3.7454208E-04	 1.4455683E-05	 1.5335060E-07	 2.7976213E-07	 2.9678078E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 1.6438560E+02	 1.7438560E+00	 1.3206696E-01	 1.4010094E-03	 7.4694447E-04	 7.9238303E-06	 1.9800000E+02
 9.3522680E-01	 1.4062520E-01	 1.3706844E-01	 1.4528488E-03	 1.9775446E-02	 3.9106828E-04	 1.4990115E-05	 1.5888683E-07	 2.9643621E-07	 3.1420579E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 1.6682230E+02	 1.7682230E+00	 1.3402461E-01	 1.4205858E-03	 7.5801651E-04	 8.0345507E-06	 1.9000000E+02
 9.4526804E-01	 1.4213501E-01	 1.3717300E-01	 1.4538943E-03	 2.0202362E-02	 4.0813542E-04	 1.5325405E-05	 1.6243371E-07	 3.0960937E-07	 3.2815446E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 1.6694955E+02	 1.7694955E+00	 1.3412684E-01	 1.4216081E-03	 7.5859471E-04	 8.0403327E-06	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.3735900E-01	 1.4557543E-03	 2.0633836E-02	 4.2575519E-04	 1.5673944E-05	 1.6611516E-07	 3.2341359E-07	 3.4275929E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 1.6717593E+02	 1.7717593E+00	 1.3430871E-01	 1.4234269E-03	 7.5962336E-04	 8.0506192E-06	 2.0500000E+02
 9.6535052E-01	 1.4515464E-01	 1.3766701E-01	 1.4588345E-03	 2.1069869E-02	 4.4393938E-04	 1.6041054E-05	 1.6998439E-07	 3.3798292E-07	 3.5815488E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 1.6755081E+02	 1.7755081E+00	 1.3460988E-01	 1.4264386E-03	 7.6132672E-04	 8.0676528E-06	 1.9500000E+02
 9.7539175E-01	 1.4666445E-01	 1.3796690E-01	 1.4618333E-03	 2.1510461E-02	 4.6269992E-04	 1.6412162E-05	 1.7389567E-07	 3.5303317E-07	 3.7405759E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 1.6791579E+02	 1.7791579E+00	 1.3490311E-01	 1.4293708E-03	 7.6298515E-04	 8.0842371E-06	 2.1200000E+02
 9.8543299E-01	 1.4817426E-01	 1.3660658E-01	 1.4482302E-03	 2.1955611E-02	 4.8204887E-04	 1.6586637E-05	 1.7584269E-07	 3.6416977E-07	 3.8607337E-09	 1.4817426E-01	 1.4817426E+00	 4.2404027E+01	 4.2404027E+00	 2.3582666E-02	 2.3582666E-01	 1.6626019E+02	 1.7626019E+00	 1.3357300E-01	 1.4160698E-03	 7.5546234E-04	 8.0090090E-06	 1.9900000E+02
 9.9547423E-01	 1.4968407E-01	 1.3664412E-01	 1.4486055E-03	 2.2405321E-02	 5.0199839E-04	 1.6931026E-05	 1.7949092E-07	 3.7934507E-07	 4.0215516E-09	 1.4968407E-01	 1.4968407E+00	 4.1976313E+01	 4.1976313E+00	 2.3822959E-02	 2.3822959E-01	 1.6630587E+02	 1.7630587E+00	 1.3360970E-01	 1.4164368E-03	 7.5566991E-04	 8.0110847E-06	 2.1300000E+02
 1.0055155E+00	 1.5119388E-01	 1.3978068E-01	 1.4799712E-03	 2.2859588E-02	 5.2256078E-04	 1.7670822E-05	 1.8709529E-07	 4.0394772E-07	 4.2769213E-09	 1.5119388E-01	 1.5119388E+00	 4.1557141E+01	 4.1557141E+00	 2.4063253E-02	 2.4063253E-01	 1.7012330E+02	 1.8012330E+00	 1.3667662E-01	 1.4471059E-03	 7.7301576E-04	 8.1845432E-06	 2.0700000E+02
 1.0155567E+00	 1.5270368E-01	 1.4009112E-01	 1.4830755E-03	 2.3318415E-02	 5.4374848E-04	 1.8065534E-05	 1.9125090E-07	 4.2125963E-07	 4.4596678E-09	 1.5270368E-01	 1.5270368E+00	 4.1146259E+01	 4.1146259E+00	 2.4303546E-02	 2.4303546E-01	 1.7050112E+02	 1.8050112E+00	 1.3698016E-01	 1.4501413E-03	 7.7473252E-04	 8.2017108E-06	 2.1100000E+02
 1.0255979E+00	 1.5421349E-01	 1.3980095E-01	 1.4801739E-03	 2.3781800E-02	 5.6557402E-04	 1.8386372E-05	 1.9466983E-07	 4.3726103E-07	 4.6295990E-09	 1.5421349E-01	 1.5421349E+00	 4.0743422E+01	 4.0743422E+00	 2.4543839E-02	 2.4543839E-01	 1.7014797E+02	 1.8014797E+00	 1.3669644E-01	 1.4473041E-03	 7.7312785E-04	 8.1856641E-06	 2.1800000E+02
 1.0356392E+00	 1.5572329E-01	 1.3813966E-01	 1.4635610E-03	 2.4249744E-02	 5.8805009E-04	 1.8525363E-05	 1.9627237E-07	 4.4923532E-07	 4.7595547E-09	 1.5572329E-01	 1.5572329E+00	 4.0348397E+01	 4.0348397E+00	 2.4784132E-02	 2.4784132E-01	 1.6812606E+02	 1.7812606E+00	 1.3507204E-01	 1.4310601E-03	 7.6394057E-04	 8.0937913E-06	 2.1600000E+02
 1.0456804E+00	 1.5723310E-01	 1.3962908E-01	 1.4784551E-03	 2.4722247E-02	 6.1118948E-04	 1.9089959E-05	 2.0213302E-07	 4.7194667E-07	 4.9971824E-09	 1.5723310E-01	 1.5723310E+00	 3.9960959E+01	 3.9960959E+00	 2.5024425E-02	 2.5024425E-01	 1.6993878E+02	 1.7993878E+00	 1.3652838E-01	 1.4456235E-03	 7.7217734E-04	 8.1761590E-06	 2.1900000E+02
 1.0557216E+00	 1.5874290E-01	 1.3997638E-01	 1.4819281E-03	 2.5199308E-02	 6.3500512E-04	 1.9506734E-05	 2.0651754E-07	 4.9155618E-07	 5.2040990E-09	 1.5874290E-01	 1.5874290E+00	 3.9580891E+01	 3.9580891E+00	 2.5264717E-02	 2.5264717E-01	 1.7036147E+02	 1.8036147E+00	 1.3686797E-01	 1.4490194E-03	 7.7409799E-04	 8.1953655E-06	 2.1500000E+02
 1.0657629E+00	 1.6025270E-01	 1.4009297E-01	 1.4830940E-03	 2.5680928E-02	 6.5951005E-04	 1.9896113E-05	 2.1063017E-07	 5.1095063E-07	 5.4091782E-09	 1.6025270E-01	 1.6025270E+00	 3.9207984E+01	 3.9207984E+00	 2.5505009E-02	 2.5505009E-01	 1.7050337E+02	 1.8050337E+00	 1.3698197E-01	 1.4501594E-03	 7.7474276E-04	 8.2018132E-06	 2.2400000E+02
 1.0758041E+00	 1.6176250E-01	 1.4137116E-01	 1.4958759E-03	 2.6167106E-02	 6.8471744E-04	 2.0457742E-05	 2.1646738E-07	 5.3531992E-07	 5.6643249E-09	 1.6176250E-01	 1.6176250E+00	 3.8842039E+01	 3.8842039E+00	 2.5745301E-02	 2.5745301E-01	 1.7205903E+02	 1.8205903E+00	 1.3823177E-01	 1.4626575E-03	 7.8181142E-04	 8.2724998E-06	 2.2900000E+02
 1.0858454E+00	 1.6327230E-01	 1.4085719E-01	 1.4907362E-03	 2.6657843E-02	 7.1064060E-04	 2.0765635E-05	 2.1976929E-07	 5.5356703E-07	 5.8585752E-09	 1.6327230E-01	 1.6327230E+00	 3.8482862E+01	 3.8482862E+00	 2.5985593E-02	 2.5985593E-01	 1.7143348E+02	 1.8143348E+00	 1.3772922E-01	 1.4576319E-03	 7.7896905E-04	 8.2440761E-06	 2.2100000E+02
 1.0958866E+00	 1.6478209E-01	 1.4013805E-01	 1.4835449E-03	 2.7153139E-02	 7.3729294E-04	 2.1043468E-05	 2.2277267E-07	 5.7139620E-07	 6.0489773E-09	 1.6478209E-01	 1.6478209E+00	 3.8130267E+01	 3.8130267E+00	 2.6225885E-02	 2.6225885E-01	 1.7055825E+02	 1.8055825E+00	 1.3702605E-01	 1.4506003E-03	 7.7499210E-04	 8.2043066E-06	 2.3600000E+02
 1.1059278E+00	 1.6629189E-01	 1.4194949E-01	 1.5016592E-03	 2.7652993E-02	 7.6468800E-04	 2.1707868E-05	 2.2964380E-07	 6.0028751E-07	 6.3503383E-09	 1.6629189E-01	 1.6629189E+00	 3.7784075E+01	 3.7784075E+00	 2.6466176E-02	 2.6466176E-01	 1.7276290E+02	 1.8276290E+00	 1.3879726E-01	 1.4683124E-03	 7.8500971E-04	 8.3044827E-06	 2.2400000E+02
