# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs103_216_0436.txt
# SPEC date/time stamp	Thu Jul 14 17:50:48 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657839048.051
# Rayonix Save date/time stamp	07/14 17:50:47.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 123912 109093 0 -4.61772 -48.0644 135 0 3.9397 0 103.275 185 46.3651 24.279 90.188 635.518 627.155 1527.93 105.764 105.695 105.726 26.4638 1422.8 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/3-17-3-try2/3-17-3-try2_hs103_216_0436.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1239.12000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	218186.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1011.9
# X-coordinate location of direct beam (mm)	84.96900
# Y-coordinate location of direct beam (mm)	86.00200
# X-coordinate location of direct beam (pix)	479.51
# Y-coordinate location of direct beam (pix)	485.34
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	18.083
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.880
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	485
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17734
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.8502062E-01	 1.3307611E-01	 1.3228442E-01	 1.4057681E-03	 1.7709251E-02	 3.1361756E-04	 1.2955377E-05	 1.3767500E-07	 2.2943003E-07	 2.4381210E-09	 1.3307611E-01	 1.3307611E+00	 4.7214976E+01	 4.7214976E+00	 2.1179721E-02	 2.1179721E-01	 1.5952497E+02	 1.6952497E+00	 1.2880041E-01	 1.3687440E-03	 7.3155988E-04	 7.7741853E-06	 1.7900000E+02
 8.9506186E-01	 1.3458593E-01	 1.3249937E-01	 1.4079177E-03	 1.8113372E-02	 3.2809425E-04	 1.3272548E-05	 1.4103203E-07	 2.4041061E-07	 2.5545657E-09	 1.3458593E-01	 1.3458593E+00	 4.6685306E+01	 4.6685306E+00	 2.1420016E-02	 2.1420016E-01	 1.5978419E+02	 1.6978419E+00	 1.2900970E-01	 1.3708370E-03	 7.3274861E-04	 7.7860726E-06	 1.8200000E+02
 9.0510309E-01	 1.3609575E-01	 1.3355814E-01	 1.4185054E-03	 1.8522053E-02	 3.4306643E-04	 1.3680459E-05	 1.4529855E-07	 2.5339018E-07	 2.6912274E-09	 1.3609575E-01	 1.3609575E+00	 4.6167389E+01	 4.6167389E+00	 2.1660311E-02	 2.1660311E-01	 1.6106099E+02	 1.7106099E+00	 1.3004059E-01	 1.3811458E-03	 7.3860384E-04	 7.8446249E-06	 2.0000000E+02
 9.1514433E-01	 1.3760557E-01	 1.3279046E-01	 1.4108286E-03	 1.8935292E-02	 3.5854527E-04	 1.3905290E-05	 1.4773637E-07	 2.6330073E-07	 2.7974313E-09	 1.3760557E-01	 1.3760557E+00	 4.5660837E+01	 4.5660837E+00	 2.1900606E-02	 2.1900606E-01	 1.6013522E+02	 1.7013522E+00	 1.2929312E-01	 1.3736712E-03	 7.3435840E-04	 7.8021704E-06	 1.8200000E+02
 9.2518557E-01	 1.3911538E-01	 1.3579535E-01	 1.4408775E-03	 1.9353090E-02	 3.7454208E-04	 1.4533707E-05	 1.5421214E-07	 2.8127214E-07	 2.9844813E-09	 1.3911538E-01	 1.3911538E+00	 4.5165281E+01	 4.5165281E+00	 2.2140901E-02	 2.2140901E-01	 1.6375889E+02	 1.7375889E+00	 1.3221888E-01	 1.4029287E-03	 7.5097608E-04	 7.9683472E-06	 1.9800000E+02
 9.3522680E-01	 1.4062520E-01	 1.3654066E-01	 1.4483305E-03	 1.9775446E-02	 3.9106828E-04	 1.4932395E-05	 1.5839270E-07	 2.9529478E-07	 3.1322864E-09	 1.4062520E-01	 1.4062520E+00	 4.4680366E+01	 4.4680366E+00	 2.2381195E-02	 2.2381195E-01	 1.6465767E+02	 1.7465767E+00	 1.3294455E-01	 1.4101855E-03	 7.5509775E-04	 8.0095640E-06	 1.9000000E+02
 9.4526804E-01	 1.4213501E-01	 1.3606378E-01	 1.4435617E-03	 2.0202362E-02	 4.0813542E-04	 1.5201480E-05	 1.6127932E-07	 3.0710579E-07	 3.2582233E-09	 1.4213501E-01	 1.4213501E+00	 4.4205753E+01	 4.4205753E+00	 2.2621490E-02	 2.2621490E-01	 1.6408259E+02	 1.7408259E+00	 1.3248023E-01	 1.4055423E-03	 7.5246052E-04	 7.9831916E-06	 2.0000000E+02
 9.5530928E-01	 1.4364483E-01	 1.3455680E-01	 1.4284920E-03	 2.0633836E-02	 4.2575519E-04	 1.5354187E-05	 1.6300427E-07	 3.1681577E-07	 3.3634033E-09	 1.4364483E-01	 1.4364483E+00	 4.3741118E+01	 4.3741118E+00	 2.2861784E-02	 2.2861784E-01	 1.6226529E+02	 1.7226529E+00	 1.3101294E-01	 1.3908694E-03	 7.4412663E-04	 7.8998527E-06	 2.0500000E+02
 9.6535052E-01	 1.4515464E-01	 1.3537789E-01	 1.4367029E-03	 2.1069869E-02	 4.4393938E-04	 1.5774325E-05	 1.6740560E-07	 3.3236295E-07	 3.5272141E-09	 1.4515464E-01	 1.4515464E+00	 4.3286149E+01	 4.3286149E+00	 2.3102078E-02	 2.3102078E-01	 1.6325547E+02	 1.7325547E+00	 1.3181241E-01	 1.3988640E-03	 7.4866743E-04	 7.9452607E-06	 1.9500000E+02
 9.7539175E-01	 1.4666445E-01	 1.3673725E-01	 1.4502965E-03	 2.1510461E-02	 4.6269992E-04	 1.6265887E-05	 1.7252328E-07	 3.4988673E-07	 3.7110552E-09	 1.4666445E-01	 1.4666445E+00	 4.2840547E+01	 4.2840547E+00	 2.3342372E-02	 2.3342372E-01	 1.6489475E+02	 1.7489475E+00	 1.3313597E-01	 1.4120996E-03	 7.5618498E-04	 8.0204362E-06	 2.1200000E+02
