# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs104_216_0026.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Thu Jul 14 17:16:21 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657836981.270
# Rayonix Save date/time stamp	07/14 17:16:18.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 123040 108251 0 -4.61772 -48.0644 135 0 3.9397 0 101.639 186.99 49.8786 24.298 90.513 635.576 627.214 1528.01 105.969 105.709 105.695 25.6524 1422.61 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-17-3-try2/3-17-3-try2_hs104_216_0026.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1230.40000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	216502.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	33.20400
# Y-coordinate location of direct beam (mm)	136.55100
# X-coordinate location of direct beam (pix)	187.38
# Y-coordinate location of direct beam (pix)	770.60
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1460.340
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.295
# Number of integrated 2-theta bins	1071
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17727
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597106E-02	 2.4956483E-03	 2.2198051E+02	 6.1657007E+00	 6.2282602E-06	 3.8791226E-11	 9.4673322E-08	 2.6296334E-09	 5.8965009E-13	 1.6378041E-14	 2.4956483E-03	 2.4956483E-02	 2.5176566E+03	 2.5176566E+02	 3.9719476E-04	 3.9719476E-03	 3.2890673E+03	 9.1356690E+01	 2.6744211E+00	 7.4284361E-02	 1.5200605E-02	 4.2220994E-04	 3.0000000E+01
 1.7791317E-02	 2.6752176E-03	 1.8269006E+02	 5.4156291E+00	 7.1567890E-06	 5.1219629E-11	 8.9532177E-08	 2.6540747E-09	 6.4076290E-13	 1.8994653E-14	 2.6752176E-03	 2.6752176E-02	 2.3486633E+03	 2.3486633E+02	 4.2577410E-04	 4.2577410E-03	 2.7069038E+03	 8.0242939E+01	 2.2010498E+00	 6.5247498E-02	 1.2510104E-02	 3.7084714E-04	 3.1000000E+01
 1.8985528E-02	 2.8547869E-03	 1.4648202E+02	 3.9532584E+00	 8.1498080E-06	 6.6419371E-11	 8.1748112E-08	 2.2062189E-09	 6.6623142E-13	 1.7980260E-14	 2.8547869E-03	 2.8547869E-02	 2.2009297E+03	 2.2009297E+02	 4.5435344E-04	 4.5435344E-03	 2.1704123E+03	 5.8575111E+01	 1.7648154E+00	 4.7628856E-02	 1.0030679E-02	 2.7070808E-04	 3.4000000E+01
 2.0179739E-02	 3.0343562E-03	 1.1639791E+02	 2.8260850E+00	 9.2073173E-06	 8.4774692E-11	 7.3387873E-08	 1.7818222E-09	 6.7570544E-13	 1.6405802E-14	 3.0343562E-03	 3.0343562E-02	 2.0706815E+03	 2.0706815E+02	 4.8293278E-04	 4.8293278E-03	 1.7246584E+03	 4.1873874E+01	 1.4023620E+00	 3.4048672E-02	 7.9706032E-03	 1.9352240E-04	 3.8000000E+01
 2.1373950E-02	 3.2139255E-03	 9.5096003E+01	 2.6776247E+00	 1.0329317E-05	 1.0669479E-10	 6.7263565E-08	 1.8939448E-09	 6.9478668E-13	 1.9563156E-14	 3.2139255E-03	 3.2139255E-02	 1.9549879E+03	 1.9549879E+02	 5.1151212E-04	 5.1151212E-03	 1.4090298E+03	 3.9674149E+01	 1.1457166E+00	 3.2260022E-02	 6.5119084E-03	 1.8335625E-04	 3.4000000E+01
 2.2568161E-02	 3.3934948E-03	 7.9521837E+01	 1.7606410E+00	 1.1515807E-05	 1.3261380E-10	 6.2708555E-08	 1.3883891E-09	 7.2213959E-13	 1.5988421E-14	 3.3934948E-03	 3.3934948E-02	 1.8515382E+03	 1.8515382E+02	 5.4009147E-04	 5.4009147E-03	 1.1782687E+03	 2.6087276E+01	 9.5807908E-01	 2.1212203E-02	 5.4454331E-03	 1.2056378E-04	 4.1000000E+01
 2.3762372E-02	 3.5730641E-03	 6.6019772E+01	 1.3841363E+00	 1.2766787E-05	 1.6299084E-10	 5.7716720E-08	 1.2100588E-09	 7.3685706E-13	 1.5448563E-14	 3.5730641E-03	 3.5730641E-02	 1.7584866E+03	 1.7584866E+02	 5.6867081E-04	 5.6867081E-03	 9.7820964E+02	 2.0508636E+01	 7.9540620E-01	 1.6676074E-02	 4.5208494E-03	 9.4781783E-05	 4.3000000E+01
 2.4956583E-02	 3.7526334E-03	 5.6064801E+01	 1.2413659E+00	 1.4082257E-05	 1.9830997E-10	 5.4064050E-08	 1.1970660E-09	 7.6134386E-13	 1.6857391E-14	 3.7526334E-03	 3.7526334E-02	 1.6743403E+03	 1.6743403E+02	 5.9725015E-04	 5.9725015E-03	 8.3070764E+02	 1.8393218E+01	 6.7546872E-01	 1.4955976E-02	 3.8391608E-03	 8.5005263E-05	 4.1000000E+01
 2.6150794E-02	 3.9322027E-03	 4.7642383E+01	 9.2997193E-01	 1.5462218E-05	 2.3908018E-10	 5.0444204E-08	 9.8466306E-10	 7.7997927E-13	 1.5225075E-14	 3.9322027E-03	 3.9322027E-02	 1.5978793E+03	 1.5978793E+02	 6.2582949E-04	 6.2582949E-03	 7.0591334E+02	 1.3779319E+01	 5.7399542E-01	 1.1204302E-02	 3.2624172E-03	 6.3681878E-05	 4.6000000E+01
 2.7345005E-02	 4.1117720E-03	 4.0758357E+01	 7.8116197E-01	 1.6906669E-05	 2.8583544E-10	 4.7186822E-08	 9.0436793E-10	 7.9777196E-13	 1.5289849E-14	 4.1117720E-03	 4.1117720E-02	 1.5280967E+03	 1.5280967E+02	 6.5440883E-04	 6.5440883E-03	 6.0391329E+02	 1.1574414E+01	 4.9105668E-01	 9.4114393E-03	 2.7910183E-03	 5.3491788E-05	 4.6000000E+01
