# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs104_216_0061.txt
# SPEC date/time stamp	Thu Jul 14 17:19:16 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657837156.032
# Rayonix Save date/time stamp	07/14 17:19:15.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 118491 104090 0 -4.61772 -48.0644 135 0 3.9397 0 103.767 185.776 47.4975 24.305 90.25 635.571 627.198 1528 105.677 105.507 105.85 25.7319 1422.62 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-17-3-try2/3-17-3-try2_hs104_216_0061.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1184.91000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	208180.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	33.20400
# Y-coordinate location of direct beam (mm)	136.55100
# X-coordinate location of direct beam (pix)	187.38
# Y-coordinate location of direct beam (pix)	770.60
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1460.340
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.295
# Number of integrated 2-theta bins	1071
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17727
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597106E-02	 2.4956483E-03	 3.5979615E+02	 1.0470958E+01	 6.2282602E-06	 3.8791226E-11	 1.5345084E-07	 4.4657992E-09	 9.5573179E-13	 2.7814160E-14	 2.4956483E-03	 2.4956483E-02	 2.5176566E+03	 2.5176566E+02	 3.9719476E-04	 3.9719476E-03	 5.1260345E+03	 1.4918029E+02	 4.3282000E+00	 1.2596133E-01	 2.4637834E-02	 7.1702194E-04	 3.0000000E+01
 1.7791317E-02	 2.6752176E-03	 2.9304087E+02	 8.7849426E+00	 7.1567890E-06	 5.1219629E-11	 1.4361256E-07	 4.3052975E-09	 1.0278048E-12	 3.0812106E-14	 2.6752176E-03	 2.6752176E-02	 2.3486633E+03	 2.3486633E+02	 4.2577410E-04	 4.2577410E-03	 4.1749686E+03	 1.2515954E+02	 3.5251614E+00	 1.0567926E-01	 2.0066620E-02	 6.0156831E-04	 3.1000000E+01
 1.8985528E-02	 2.8547869E-03	 2.3711825E+02	 6.3631021E+00	 8.1498080E-06	 6.6419371E-11	 1.3233002E-07	 3.5510950E-09	 1.0784643E-12	 2.8940743E-14	 2.8547869E-03	 2.8547869E-02	 2.2009297E+03	 2.2009297E+02	 4.5435344E-04	 4.5435344E-03	 3.3782360E+03	 9.0655447E+01	 2.8524352E+00	 7.6545508E-02	 1.6237195E-02	 4.3572744E-04	 3.4000000E+01
 2.0179739E-02	 3.0343562E-03	 1.8991561E+02	 4.4846345E+00	 9.2073173E-06	 8.4774692E-11	 1.1974015E-07	 2.8275233E-09	 1.1024855E-12	 2.6033904E-14	 3.0343562E-03	 3.0343562E-02	 2.0706815E+03	 2.0706815E+02	 4.8293278E-04	 4.8293278E-03	 2.7057375E+03	 6.3892821E+01	 2.2846068E+00	 5.3948313E-02	 1.3004890E-02	 3.0709523E-04	 3.8000000E+01
 2.1373950E-02	 3.2139255E-03	 1.5345594E+02	 4.2287752E+00	 1.0329317E-05	 1.0669479E-10	 1.0854288E-07	 2.9911088E-09	 1.1211738E-12	 3.0896111E-14	 3.2139255E-03	 3.2139255E-02	 1.9549879E+03	 1.9549879E+02	 5.1151212E-04	 5.1151212E-03	 2.1862948E+03	 6.0247580E+01	 1.8460120E+00	 5.0870430E-02	 1.0508234E-02	 2.8957470E-04	 3.4000000E+01
 2.2568161E-02	 3.3934948E-03	 1.2747186E+02	 2.7987023E+00	 1.1515807E-05	 1.3261380E-10	 1.0052051E-07	 2.2069733E-09	 1.1575748E-12	 2.5415078E-14	 3.3934948E-03	 3.3934948E-02	 1.8515382E+03	 1.8515382E+02	 5.4009147E-04	 5.4009147E-03	 1.8160982E+03	 3.9873257E+01	 1.5334341E+00	 3.3667240E-02	 8.7289162E-03	 1.9164731E-04	 4.1000000E+01
 2.3762372E-02	 3.5730641E-03	 1.0584649E+02	 2.1889405E+00	 1.2766787E-05	 1.6299084E-10	 9.2534586E-08	 1.9136459E-09	 1.1813693E-12	 2.4431109E-14	 3.5730641E-03	 3.5730641E-02	 1.7584866E+03	 1.7584866E+02	 5.6867081E-04	 5.6867081E-03	 1.5080005E+03	 3.1185949E+01	 1.2732899E+00	 2.6332056E-02	 7.2480717E-03	 1.4989252E-04	 4.3000000E+01
 2.4956583E-02	 3.7526334E-03	 8.8853671E+01	 1.9923344E+00	 1.4082257E-05	 1.9830997E-10	 8.5682803E-08	 1.9212351E-09	 1.2066073E-12	 2.7055327E-14	 3.7526334E-03	 3.7526334E-02	 1.6743403E+03	 1.6743403E+02	 5.9725015E-04	 5.9725015E-03	 1.2659029E+03	 2.8384891E+01	 1.0688732E+00	 2.3966965E-02	 6.0844510E-03	 1.3642949E-04	 4.1000000E+01
 2.6150794E-02	 3.9322027E-03	 7.5194837E+01	 1.4528071E+00	 1.5462218E-05	 2.3908018E-10	 7.9617003E-08	 1.5382459E-09	 1.2310554E-12	 2.3784693E-14	 3.9322027E-03	 3.9322027E-02	 1.5978793E+03	 1.5978793E+02	 6.2582949E-04	 6.2582949E-03	 1.0713048E+03	 2.0698219E+01	 9.0456303E-01	 1.7476673E-02	 5.1491322E-03	 9.9484169E-05	 4.6000000E+01
 2.7345005E-02	 4.1117720E-03	 6.3076386E+01	 1.2354124E+00	 1.6906669E-05	 2.8583544E-10	 7.3024882E-08	 1.4302634E-09	 1.2346075E-12	 2.4180989E-14	 4.1117720E-03	 4.1117720E-02	 1.5280967E+03	 1.5280967E+02	 6.5440883E-04	 6.5440883E-03	 8.9865256E+02	 1.7600985E+01	 7.5878304E-01	 1.4861504E-02	 4.3192946E-03	 8.4597586E-05	 4.6000000E+01
 2.8539216E-02	 4.2913413E-03	 5.4138580E+01	 8.1910687E-01	 1.8415610E-05	 3.3913468E-10	 6.8271427E-08	 1.0329343E-09	 1.2572600E-12	 1.9022115E-14	 4.2913413E-03	 4.2913413E-02	 1.4641542E+03	 1.4641542E+02	 6.8298817E-04	 6.8298817E-03	 7.7131517E+02	 1.1669858E+01	 6.5126490E-01	 9.8535196E-03	 3.7072586E-03	 5.6090148E-05	 5.4000000E+01
 2.9733427E-02	 4.4709105E-03	 4.6390081E+01	 7.5731509E-01	 1.9989041E-05	 3.9956177E-10	 6.3498449E-08	 1.0366081E-09	 1.2692731E-12	 2.0720802E-14	 4.4709105E-03	 4.4709105E-02	 1.4053480E+03	 1.4053480E+02	 7.1156751E-04	 7.1156751E-03	 6.6092191E+02	 1.0789508E+01	 5.5805364E-01	 9.1101898E-03	 3.1766631E-03	 5.1858820E-05	 5.1000000E+01
 3.0927638E-02	 4.6504798E-03	 3.9909278E+01	 5.8713049E-01	 2.1626963E-05	 4.6772552E-10	 5.9103803E-08	 8.6951321E-10	 1.2782357E-12	 1.8804930E-14	 4.6504798E-03	 4.6504798E-02	 1.3510832E+03	 1.3510832E+02	 7.4014686E-04	 7.4014686E-03	 5.6858956E+02	 8.3648786E+00	 4.8009224E-01	 7.0629389E-03	 2.7328758E-03	 4.0205054E-05	 5.6000000E+01
 3.2121849E-02	 4.8300491E-03	 3.4469669E+01	 5.6195642E-01	 2.3329375E-05	 5.4425972E-10	 5.5066343E-08	 8.9774243E-10	 1.2846633E-12	 2.0943770E-14	 4.8300491E-03	 4.8300491E-02	 1.3008533E+03	 1.3008533E+02	 7.6872620E-04	 7.6872620E-03	 4.9109117E+02	 8.0062223E+00	 4.1465598E-01	 6.7601051E-03	 2.3603866E-03	 3.8481204E-05	 5.5000000E+01
 3.3316060E-02	 5.0096184E-03	 3.0112699E+01	 4.3803150E-01	 2.5096277E-05	 6.2982311E-10	 5.1749363E-08	 7.5276716E-10	 1.2987163E-12	 1.8891653E-14	 5.0096184E-03	 5.0096184E-02	 1.2542243E+03	 1.2542243E+02	 7.9730554E-04	 7.9730554E-03	 4.2901720E+02	 6.2406577E+00	 3.6224342E-01	 5.2693393E-03	 2.0620335E-03	 2.9995173E-05	 5.9000000E+01
 3.4510271E-02	 5.1891877E-03	 2.6585560E+01	 3.1787957E-01	 2.6927669E-05	 7.2509937E-10	 4.9021952E-08	 5.8614816E-10	 1.3200469E-12	 1.5783604E-14	 5.1891877E-03	 5.1891877E-02	 1.2108225E+03	 1.2108225E+02	 8.2588488E-04	 8.2588488E-03	 3.7876586E+02	 4.5288469E+00	 3.1981338E-01	 3.8239609E-03	 1.8205048E-03	 2.1767504E-05	 6.4000000E+01
 3.5704482E-02	 5.3687570E-03	 2.3594549E+01	 3.2489181E-01	 2.8823552E-05	 8.3079715E-10	 4.6569889E-08	 6.4125724E-10	 1.3423096E-12	 1.8483312E-14	 5.3687570E-03	 5.3687570E-02	 1.1703240E+03	 1.1703240E+02	 8.5446422E-04	 8.5446422E-03	 3.3615277E+02	 4.6287506E+00	 2.8383275E-01	 3.9083152E-03	 1.6156888E-03	 2.2247683E-05	 5.9000000E+01
 3.6898693E-02	 5.5483263E-03	 2.1099117E+01	 2.7970439E-01	 3.0783925E-05	 9.4765004E-10	 4.4476877E-08	 5.8961604E-10	 1.3691729E-12	 1.8150696E-14	 5.5483263E-03	 5.5483263E-02	 1.1324470E+03	 1.1324470E+02	 8.8304356E-04	 8.8304356E-03	 3.0060022E+02	 3.9849630E+00	 2.5381372E-01	 3.3647290E-03	 1.4448085E-03	 1.9153374E-05	 6.5000000E+01
 3.8092904E-02	 5.7278956E-03	 1.8927565E+01	 2.0639514E-01	 3.2808788E-05	 1.0764166E-09	 4.2523691E-08	 4.6369849E-10	 1.3951508E-12	 1.5213385E-14	 5.7278956E-03	 5.7278956E-02	 1.0969448E+03	 1.0969448E+02	 9.1162290E-04	 9.1162290E-03	 2.6966200E+02	 2.9405223E+00	 2.2769084E-01	 2.4828489E-03	 1.2961067E-03	 1.4133362E-05	 6.8000000E+01
 3.9287115E-02	 5.9074649E-03	 1.7108054E+01	 1.8552102E-01	 3.4898142E-05	 1.2178803E-09	 4.0883581E-08	 4.4334462E-10	 1.4267610E-12	 1.5471903E-14	 5.9074649E-03	 5.9074649E-02	 1.0636010E+03	 1.0636010E+02	 9.4020224E-04	 9.4020224E-03	 2.4373933E+02	 2.6431276E+00	 2.0580287E-01	 2.2317418E-03	 1.1715117E-03	 1.2703961E-05	 6.9000000E+01
 4.0481326E-02	 6.0870342E-03	 1.5548573E+01	 1.6250472E-01	 3.7051985E-05	 1.3728496E-09	 3.9450093E-08	 4.1230964E-10	 1.4617043E-12	 1.5276891E-14	 6.0870342E-03	 6.0870342E-02	 1.0322244E+03	 1.0322244E+02	 9.6878158E-04	 9.6878158E-03	 2.2152132E+02	 2.3152132E+00	 1.8704295E-01	 1.9548651E-03	 1.0647228E-03	 1.1127869E-05	 7.1000000E+01
 4.1675537E-02	 6.2666035E-03	 1.4174375E+01	 1.4876275E-01	 3.9270319E-05	 1.5421580E-09	 3.8116620E-08	 4.0004113E-10	 1.4968518E-12	 1.5709743E-14	 6.2666035E-03	 6.2666035E-02	 1.0026461E+03	 1.0026461E+02	 9.9736092E-04	 9.9736092E-03	 2.0194306E+02	 2.1194306E+00	 1.7051192E-01	 1.7895548E-03	 9.7062159E-04	 1.0186857E-05	 7.0000000E+01
 4.2869748E-02	 6.4461728E-03	 1.2657306E+01	 1.3359205E-01	 4.1553143E-05	 1.7266637E-09	 3.6015643E-08	 3.8012858E-10	 1.4965632E-12	 1.5795538E-14	 6.4461728E-03	 6.4461728E-02	 9.7471562E+02	 9.7471562E+01	 1.0259403E-03	 1.0259403E-02	 1.8032929E+02	 1.9032929E+00	 1.5226219E-01	 1.6070576E-03	 8.6673691E-04	 9.1480103E-06	 7.9000000E+01
 4.4063959E-02	 6.6257421E-03	 1.1435360E+01	 1.2137260E-01	 4.3900458E-05	 1.9272502E-09	 3.4376759E-08	 3.6486796E-10	 1.5091555E-12	 1.6017870E-14	 6.6257421E-03	 6.6257421E-02	 9.4829911E+02	 9.4829911E+01	 1.0545196E-03	 1.0545196E-02	 1.6292018E+02	 1.7292018E+00	 1.3756269E-01	 1.4600626E-03	 7.8306151E-04	 8.3112563E-06	 7.5000000E+01
 4.5258170E-02	 6.8053114E-03	 1.0369655E+01	 1.1071554E-01	 4.6312263E-05	 2.1448257E-09	 3.2885641E-08	 3.5111600E-10	 1.5230085E-12	 1.6260976E-14	 6.8053114E-03	 6.8053114E-02	 9.2327668E+02	 9.2327668E+01	 1.0830989E-03	 1.0830989E-02	 1.4773701E+02	 1.5773701E+00	 1.2474269E-01	 1.3318626E-03	 7.1008497E-04	 7.5814909E-06	 7.6000000E+01
 4.6452381E-02	 6.9848806E-03	 9.4895306E+00	 1.0191430E-01	 4.8788558E-05	 2.3803234E-09	 3.1703611E-08	 3.4048590E-10	 1.5467734E-12	 1.6611816E-14	 6.9848806E-03	 6.9848806E-02	 8.9954083E+02	 8.9954083E+01	 1.1116783E-03	 1.1116783E-02	 1.3519784E+02	 1.4519784E+00	 1.1415516E-01	 1.2259872E-03	 6.4981652E-04	 6.9788064E-06	 8.6000000E+01
 4.7646592E-02	 7.1644499E-03	 8.6173085E+00	 9.3192080E-02	 5.1329343E-05	 2.6347014E-09	 3.0288890E-08	 3.2755990E-10	 1.5547088E-12	 1.6813434E-14	 7.1644499E-03	 7.1644499E-02	 8.7699480E+02	 8.7699480E+01	 1.1402576E-03	 1.1402576E-02	 1.2277124E+02	 1.3277124E+00	 1.0366268E-01	 1.1210625E-03	 5.9008919E-04	 6.3815331E-06	 8.3000000E+01
 4.8840803E-02	 7.3440192E-03	 8.2988039E+00	 9.0007035E-02	 5.3934618E-05	 2.9089431E-09	 3.0649905E-08	 3.3242225E-10	 1.6530909E-12	 1.7929067E-14	 7.3440192E-03	 7.3440192E-02	 8.5555132E+02	 8.5555132E+01	 1.1688370E-03	 1.1688370E-02	 1.1823349E+02	 1.2823349E+00	 9.9831206E-02	 1.0827477E-03	 5.6827889E-04	 6.1634301E-06	 9.0000000E+01
 5.0035014E-02	 7.5235885E-03	 7.4583132E+00	 8.2087830E-02	 5.6604384E-05	 3.2040563E-09	 2.8909242E-08	 3.1818145E-10	 1.6363898E-12	 1.8010465E-14	 7.5235885E-03	 7.5235885E-02	 8.3513144E+02	 8.3513144E+01	 1.1974163E-03	 1.1974163E-02	 1.0625898E+02	 1.1695096E+00	 8.9720447E-02	 9.8748291E-04	 5.1072443E-04	 5.6211451E-06	 8.5000000E+01
 5.1229225E-02	 7.7031578E-03	 6.8850807E+00	 7.8237028E-02	 5.9338640E-05	 3.5210742E-09	 2.7976452E-08	 3.1790397E-10	 1.6600846E-12	 1.8863989E-14	 7.7031578E-03	 7.7031578E-02	 8.1566359E+02	 8.1566359E+01	 1.2259956E-03	 1.2259956E-02	 9.8092103E+01	 1.1146470E+00	 8.2824696E-02	 9.4115935E-04	 4.7147107E-04	 5.3574529E-06	 8.7000000E+01
