# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs104_216_0290.txt
# SPEC date/time stamp	Thu Jul 14 17:38:33 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657838313.079
# Rayonix Save date/time stamp	07/14 17:38:32.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 121269 107092 0 -4.61772 -48.0644 135 0 3.9397 0 101.717 187.492 47.3149 24.291 90.277 635.53 627.166 1527.95 105.714 105.651 105.743 26.2601 1422.73 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-17-3-try2/3-17-3-try2_hs104_216_0290.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1212.69000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	214184.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	33.20400
# Y-coordinate location of direct beam (mm)	136.55100
# X-coordinate location of direct beam (pix)	187.38
# Y-coordinate location of direct beam (pix)	770.60
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1460.340
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.295
# Number of integrated 2-theta bins	1071
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17727
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597106E-02	 2.4956483E-03	 4.5238657E+02	 1.3899197E+01	 6.2282602E-06	 3.8791226E-11	 1.9294009E-07	 5.9279218E-09	 1.2016811E-12	 3.6920640E-14	 2.4956483E-03	 2.4956483E-02	 2.5176566E+03	 2.5176566E+02	 3.9719476E-04	 3.9719476E-03	 6.6311680E+03	 2.0373705E+02	 5.4707461E+00	 1.6808407E-01	 3.0978168E-02	 9.5177811E-04	 3.0000000E+01
 1.7791317E-02	 2.6752176E-03	 3.6833982E+02	 1.0670408E+01	 7.1567890E-06	 5.1219629E-11	 1.8051484E-07	 5.2293204E-09	 1.2919066E-12	 3.7425143E-14	 2.6752176E-03	 2.6752176E-02	 2.3486633E+03	 2.3486633E+02	 4.2577410E-04	 4.2577410E-03	 5.3991948E+03	 1.5640886E+02	 4.4543622E+00	 1.2903807E-01	 2.5222881E-02	 7.3067969E-04	 3.1000000E+01
 1.8985528E-02	 2.8547869E-03	 2.9284782E+02	 7.5459342E+00	 8.1498080E-06	 6.6419371E-11	 1.6343136E-07	 4.2112053E-09	 1.3319342E-12	 3.4320515E-14	 2.8547869E-03	 2.8547869E-02	 2.2009297E+03	 2.2009297E+02	 4.5435344E-04	 4.5435344E-03	 4.2926188E+03	 1.1060973E+02	 3.5414316E+00	 9.1253571E-02	 2.0053400E-02	 5.1672448E-04	 3.4000000E+01
 2.0179739E-02	 3.0343562E-03	 2.3225571E+02	 5.3637149E+00	 9.2073173E-06	 8.4774692E-11	 1.4643522E-07	 3.3817758E-09	 1.3482755E-12	 3.1137083E-14	 3.0343562E-03	 3.0343562E-02	 2.0706815E+03	 2.0706815E+02	 4.8293278E-04	 4.8293278E-03	 3.4044482E+03	 7.8622347E+01	 2.8086865E+00	 6.4863822E-02	 1.5904222E-02	 3.6729220E-04	 3.8000000E+01
 2.1373950E-02	 3.2139255E-03	 1.8613170E+02	 5.2052808E+00	 1.0329317E-05	 1.0669479E-10	 1.3165519E-07	 3.6818135E-09	 1.3599081E-12	 3.8030618E-14	 3.2139255E-03	 3.2139255E-02	 1.9549879E+03	 1.9549879E+02	 5.1151212E-04	 5.1151212E-03	 2.7283537E+03	 7.6299991E+01	 2.2509052E+00	 6.2947867E-02	 1.2745779E-02	 3.5644308E-04	 3.4000000E+01
 2.2568161E-02	 3.3934948E-03	 1.5126985E+02	 3.3206609E+00	 1.1515807E-05	 1.3261380E-10	 1.1928691E-07	 2.6185744E-09	 1.3736850E-12	 3.0154996E-14	 3.3934948E-03	 3.3934948E-02	 1.8515382E+03	 1.8515382E+02	 5.4009147E-04	 5.4009147E-03	 2.2173421E+03	 4.8674876E+01	 1.8293182E+00	 4.0157012E-02	 1.0358537E-02	 2.2738957E-04	 4.1000000E+01
 2.3762372E-02	 3.5730641E-03	 1.2280781E+02	 2.5788519E+00	 1.2766787E-05	 1.6299084E-10	 1.0736275E-07	 2.2545197E-09	 1.3706773E-12	 2.8782972E-14	 3.5730641E-03	 3.5730641E-02	 1.7584866E+03	 1.7584866E+02	 5.6867081E-04	 5.6867081E-03	 1.8001402E+03	 3.7801300E+01	 1.4851245E+00	 3.1186258E-02	 8.4095357E-03	 1.7659257E-04	 4.3000000E+01
 2.4956583E-02	 3.7526334E-03	 1.0141009E+02	 2.2185479E+00	 1.4082257E-05	 1.9830997E-10	 9.7791130E-08	 2.1393759E-09	 1.3771198E-12	 3.0127242E-14	 3.7526334E-03	 3.7526334E-02	 1.6743403E+03	 1.6743403E+02	 5.9725015E-04	 5.9725015E-03	 1.4864883E+03	 3.2519896E+01	 1.2263601E+00	 2.6829073E-02	 6.9442795E-03	 1.5191996E-04	 4.1000000E+01
 2.6150794E-02	 3.9322027E-03	 8.3753481E+01	 1.5789575E+00	 1.5462218E-05	 2.3908018E-10	 8.8678976E-08	 1.6718151E-09	 1.3711736E-12	 2.5849970E-14	 3.9322027E-03	 3.9322027E-02	 1.5978793E+03	 1.5978793E+02	 6.2582949E-04	 6.2582949E-03	 1.2276744E+03	 2.3144658E+01	 1.0128374E+00	 1.9094457E-02	 5.7352042E-03	 1.0812260E-04	 4.6000000E+01
 2.7345005E-02	 4.1117720E-03	 7.0947164E+01	 1.3247605E+00	 1.6906669E-05	 2.8583544E-10	 8.2137049E-08	 1.5337035E-09	 1.3886639E-12	 2.5929817E-14	 4.1117720E-03	 4.1117720E-02	 1.5280967E+03	 1.5280967E+02	 6.5440883E-04	 6.5440883E-03	 1.0399569E+03	 1.9418590E+01	 8.5796959E-01	 1.6020432E-02	 4.8582634E-03	 9.0715893E-05	 4.6000000E+01
