# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs104_216_0363.txt
# SPEC date/time stamp	Thu Jul 14 17:44:41 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657838681.843
# Rayonix Save date/time stamp	07/14 17:44:40.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 124529 110101 0 -4.61772 -48.0644 135 0 3.9397 0 101.638 185.117 46.9302 24.282 90 635.545 627.17 1527.96 105.771 105.638 105.739 26.4086 1422.75 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-17-3-try2/3-17-3-try2_hs104_216_0363.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1245.29000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	220202.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	33.20400
# Y-coordinate location of direct beam (mm)	136.55100
# X-coordinate location of direct beam (pix)	187.38
# Y-coordinate location of direct beam (pix)	770.60
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1460.340
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.295
# Number of integrated 2-theta bins	1071
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17727
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597106E-02	 2.4956483E-03	 4.4949170E+02	 1.3421636E+01	 6.2282602E-06	 3.8791226E-11	 1.9170544E-07	 5.7242454E-09	 1.1939914E-12	 3.5652090E-14	 2.4956483E-03	 2.4956483E-02	 2.5176566E+03	 2.5176566E+02	 3.9719476E-04	 3.9719476E-03	 6.7739680E+03	 2.0226789E+02	 5.4421883E+00	 1.6250150E-01	 3.0779935E-02	 9.1907614E-04	 3.0000000E+01
 1.7791317E-02	 2.6752176E-03	 3.6554318E+02	 1.0566640E+01	 7.1567890E-06	 5.1219629E-11	 1.7914427E-07	 5.1784661E-09	 1.2820977E-12	 3.7061189E-14	 2.6752176E-03	 2.6752176E-02	 2.3486633E+03	 2.3486633E+02	 4.2577410E-04	 4.2577410E-03	 5.5088400E+03	 1.5924227E+02	 4.4257877E+00	 1.2793483E-01	 2.5031375E-02	 7.2357395E-04	 3.1000000E+01
 1.8985528E-02	 2.8547869E-03	 2.8866123E+02	 7.4733510E+00	 8.1498080E-06	 6.6419371E-11	 1.6109492E-07	 4.1706983E-09	 1.3128927E-12	 3.3990391E-14	 2.8547869E-03	 2.8547869E-02	 2.2009297E+03	 2.2009297E+02	 4.5435344E-04	 4.5435344E-03	 4.3502070E+03	 1.1262553E+02	 3.4949450E+00	 9.0483058E-02	 1.9766714E-02	 5.1175418E-04	 3.4000000E+01
 2.0179739E-02	 3.0343562E-03	 2.2981970E+02	 5.2570435E+00	 9.2073173E-06	 8.4774692E-11	 1.4489933E-07	 3.3145205E-09	 1.3341341E-12	 3.0517842E-14	 3.0343562E-03	 3.0343562E-02	 2.0706815E+03	 2.0706815E+02	 4.8293278E-04	 4.8293278E-03	 3.4634484E+03	 7.9225144E+01	 2.7825255E+00	 6.3649276E-02	 1.5737411E-02	 3.5998764E-04	 3.8000000E+01
 2.1373950E-02	 3.2139255E-03	 1.8354590E+02	 5.0139058E+00	 1.0329317E-05	 1.0669479E-10	 1.2982619E-07	 3.5464496E-09	 1.3410158E-12	 3.6632402E-14	 3.2139255E-03	 3.2139255E-02	 1.9549879E+03	 1.9549879E+02	 5.1151212E-04	 5.1151212E-03	 2.7660890E+03	 7.5560989E+01	 2.2222687E+00	 6.0705503E-02	 1.2568710E-02	 3.4333825E-04	 3.4000000E+01
 2.2568161E-02	 3.3934948E-03	 1.4840062E+02	 3.1823675E+00	 1.1515807E-05	 1.3261380E-10	 1.1702432E-07	 2.5095203E-09	 1.3476294E-12	 2.8899151E-14	 3.3934948E-03	 3.3934948E-02	 1.8515382E+03	 1.8515382E+02	 5.4009147E-04	 5.4009147E-03	 2.2364397E+03	 4.7959186E+01	 1.7967499E+00	 3.8530285E-02	 1.0162060E-02	 2.1791963E-04	 4.1000000E+01
 2.3762372E-02	 3.5730641E-03	 1.2021351E+02	 2.5094366E+00	 1.2766787E-05	 1.6299084E-10	 1.0509472E-07	 2.1938345E-09	 1.3417218E-12	 2.8008217E-14	 3.5730641E-03	 3.5730641E-02	 1.7584866E+03	 1.7584866E+02	 5.6867081E-04	 5.6867081E-03	 1.8116518E+03	 3.7817925E+01	 1.4554764E+00	 3.0382823E-02	 8.2318847E-03	 1.7183920E-04	 4.3000000E+01
 2.4956583E-02	 3.7526334E-03	 9.8023654E+01	 2.2138900E+00	 1.4082257E-05	 1.9830997E-10	 9.4525542E-08	 2.1348842E-09	 1.3311330E-12	 3.0063988E-14	 3.7526334E-03	 3.7526334E-02	 1.6743403E+03	 1.6743403E+02	 5.9725015E-04	 5.9725015E-03	 1.4772444E+03	 3.3363953E+01	 1.1868143E+00	 2.6804513E-02	 6.7123857E-03	 1.5160099E-04	 4.1000000E+01
 2.6150794E-02	 3.9322027E-03	 8.2227782E+01	 1.6121371E+00	 1.5462218E-05	 2.3908018E-10	 8.7063552E-08	 1.7069460E-09	 1.3461956E-12	 2.6393171E-14	 3.9322027E-03	 3.9322027E-02	 1.5978793E+03	 1.5978793E+02	 6.2582949E-04	 6.2582949E-03	 1.2391961E+03	 2.4295366E+01	 9.9556694E-01	 1.9518834E-02	 5.6307286E-03	 1.1039464E-04	 4.6000000E+01
 2.7345005E-02	 4.1117720E-03	 6.8897488E+01	 1.3475440E+00	 1.6906669E-05	 2.8583544E-10	 7.9764096E-08	 1.5600805E-09	 1.3485451E-12	 2.6375765E-14	 4.1117720E-03	 4.1117720E-02	 1.5280967E+03	 1.5280967E+02	 6.5440883E-04	 6.5440883E-03	 1.0383048E+03	 2.0307872E+01	 8.3417136E-01	 1.6315292E-02	 4.7179073E-03	 9.2276047E-05	 4.6000000E+01
 2.8539216E-02	 4.2913413E-03	 5.7876982E+01	 8.6473913E-01	 1.8415610E-05	 3.3913468E-10	 7.2985737E-08	 1.0904788E-09	 1.3440768E-12	 2.0081832E-14	 4.2913413E-03	 4.2913413E-02	 1.4641542E+03	 1.4641542E+02	 6.8298817E-04	 6.8298817E-03	 8.7222261E+02	 1.3031865E+01	 7.0074138E-01	 1.0469767E-02	 3.9632539E-03	 5.9214918E-05	 5.4000000E+01
 2.9733427E-02	 4.4709105E-03	 4.8061100E+01	 8.2573728E-01	 1.9989041E-05	 3.9956177E-10	 6.5785729E-08	 1.1302639E-09	 1.3149936E-12	 2.2592892E-14	 4.4709105E-03	 4.4709105E-02	 1.4053480E+03	 1.4053480E+02	 7.1156751E-04	 7.1156751E-03	 7.2429448E+02	 1.2444096E+01	 5.8189631E-01	 9.9975545E-03	 3.2910898E-03	 5.6544180E-05	 5.1000000E+01
 3.0927638E-02	 4.6504798E-03	 4.1424966E+01	 6.3335935E-01	 2.1626963E-05	 4.6772552E-10	 6.1348467E-08	 9.3797603E-10	 1.3267810E-12	 2.0285573E-14	 4.6504798E-03	 4.6504798E-02	 1.3510832E+03	 1.3510832E+02	 7.4014686E-04	 7.4014686E-03	 6.2428605E+02	 9.5449059E+00	 5.0154979E-01	 7.6683527E-03	 2.8366659E-03	 4.3370677E-05	 5.6000000E+01
 3.2121849E-02	 4.8300491E-03	 3.5731985E+01	 5.5121660E-01	 2.3329375E-05	 5.4425972E-10	 5.7082930E-08	 8.8058524E-10	 1.3317091E-12	 2.0543503E-14	 4.8300491E-03	 4.8300491E-02	 1.3008533E+03	 1.3008533E+02	 7.6872620E-04	 7.6872620E-03	 5.3849119E+02	 8.3069912E+00	 4.3262243E-01	 6.6738152E-03	 2.4468264E-03	 3.7745771E-05	 5.5000000E+01
 3.3316060E-02	 5.0096184E-03	 3.0762091E+01	 4.6183630E-01	 2.5096277E-05	 6.2982311E-10	 5.2865358E-08	 7.9367625E-10	 1.3267237E-12	 1.9918319E-14	 5.0096184E-03	 5.0096184E-02	 1.2542243E+03	 1.2542243E+02	 7.9730554E-04	 7.9730554E-03	 4.6359349E+02	 6.9600047E+00	 3.7244980E-01	 5.5916497E-03	 2.1065020E-03	 3.1625259E-05	 5.9000000E+01
 3.4510271E-02	 5.1891877E-03	 2.7056572E+01	 3.5527867E-01	 2.6927669E-05	 7.2509937E-10	 4.9890465E-08	 6.5510953E-10	 1.3434340E-12	 1.7640573E-14	 5.1891877E-03	 5.1891877E-02	 1.2108225E+03	 1.2108225E+02	 8.2588488E-04	 8.2588488E-03	 4.0775025E+02	 5.3541508E+00	 3.2758549E-01	 4.3015109E-03	 1.8527584E-03	 2.4328490E-05	 6.4000000E+01
 3.5704482E-02	 5.3687570E-03	 2.3754248E+01	 3.4507133E-01	 2.8823552E-05	 8.3079715E-10	 4.6885096E-08	 6.8108670E-10	 1.3513950E-12	 1.9631338E-14	 5.3687570E-03	 5.3687570E-02	 1.1703240E+03	 1.1703240E+02	 8.5446422E-04	 8.5446422E-03	 3.5798329E+02	 5.2003233E+00	 2.8760285E-01	 4.1779263E-03	 1.6266245E-03	 2.3629520E-05	 5.9000000E+01
 3.6898693E-02	 5.5483263E-03	 2.0845930E+01	 2.7469979E-01	 3.0783925E-05	 9.4765004E-10	 4.3943159E-08	 5.7906637E-10	 1.3527429E-12	 1.7825936E-14	 5.5483263E-03	 5.5483263E-02	 1.1324470E+03	 1.1324470E+02	 8.8304356E-04	 8.8304356E-03	 3.1415410E+02	 4.1398042E+00	 2.5239059E-01	 3.3259079E-03	 1.4274710E-03	 1.8810674E-05	 6.5000000E+01
 3.8092904E-02	 5.7278956E-03	 1.8707456E+01	 2.1937534E-01	 3.2808788E-05	 1.0764166E-09	 4.2029181E-08	 4.9286051E-10	 1.3789265E-12	 1.6170156E-14	 5.7278956E-03	 5.7278956E-02	 1.0969448E+03	 1.0969448E+02	 9.1162290E-04	 9.1162290E-03	 2.8192669E+02	 3.3060489E+00	 2.2649917E-01	 2.6560711E-03	 1.2810342E-03	 1.5022210E-05	 6.8000000E+01
 3.9287115E-02	 5.9074649E-03	 1.6783209E+01	 1.8976581E-01	 3.4898142E-05	 1.2178803E-09	 4.0107291E-08	 4.5348851E-10	 1.3996699E-12	 1.5825906E-14	 5.9074649E-03	 5.9074649E-02	 1.0636010E+03	 1.0636010E+02	 9.4020224E-04	 9.4020224E-03	 2.5292774E+02	 2.8598248E+00	 2.0320149E-01	 2.2975759E-03	 1.1492672E-03	 1.2994632E-05	 6.9000000E+01
 4.0481326E-02	 6.0870342E-03	 1.5311368E+01	 1.5974926E-01	 3.7051985E-05	 1.3728496E-09	 3.8848254E-08	 4.0531842E-10	 1.4394049E-12	 1.5017852E-14	 6.0870342E-03	 6.0870342E-02	 1.0322244E+03	 1.0322244E+02	 9.6878158E-04	 9.6878158E-03	 2.3074668E+02	 2.4074668E+00	 1.8538129E-01	 1.9341526E-03	 1.0484797E-03	 1.0939182E-05	 7.1000000E+01
 4.1675537E-02	 6.2666035E-03	 1.3473074E+01	 1.4136631E-01	 3.9270319E-05	 1.5421580E-09	 3.6230735E-08	 3.8015122E-10	 1.4227925E-12	 1.4928660E-14	 6.2666035E-03	 6.2666035E-02	 1.0026461E+03	 1.0026461E+02	 9.9736092E-04	 9.9736092E-03	 2.0304306E+02	 2.1304306E+00	 1.6312427E-01	 1.7115824E-03	 9.2259843E-04	 9.6803699E-06	 7.0000000E+01
 4.2869748E-02	 6.4461728E-03	 1.1758418E+01	 1.2421975E-01	 4.1553143E-05	 1.7266637E-09	 3.3457909E-08	 3.5346024E-10	 1.3902813E-12	 1.4687384E-14	 6.4461728E-03	 6.4461728E-02	 9.7471562E+02	 9.7471562E+01	 1.0259403E-03	 1.0259403E-02	 1.7720271E+02	 1.8720271E+00	 1.4236420E-01	 1.5039817E-03	 8.0518358E-04	 8.5062214E-06	 7.9000000E+01
 4.4063959E-02	 6.6257421E-03	 1.0757605E+01	 1.1421163E-01	 4.3900458E-05	 1.9272502E-09	 3.2339304E-08	 3.4334077E-10	 1.4197102E-12	 1.5072817E-14	 6.6257421E-03	 6.6257421E-02	 9.4829911E+02	 9.4829911E+01	 1.0545196E-03	 1.0545196E-02	 1.6212017E+02	 1.7212017E+00	 1.3024693E-01	 1.3828090E-03	 7.3665072E-04	 7.8208928E-06	 7.5000000E+01
