# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	3-17-3-try2/plot_files/3-17-3-try2_hs104_216_0436.txt
# SPEC date/time stamp	Thu Jul 14 17:50:48 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1657839048.051
# Rayonix Save date/time stamp	07/14 17:50:47.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 123912 109093 0 -4.61772 -48.0644 135 0 3.9397 0 103.275 185 46.3651 24.279 90.188 635.518 627.155 1527.93 105.764 105.695 105.726 26.4638 1422.8 13.1667 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/3-17-3-try2/3-17-3-try2_hs104_216_0436.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	1239.12000
# Incident detector dark (pAs)	0.57600
# Transmitted detector intensity (pAs)	218186.00000
# Transmitted detector dark (pAs)	124.60000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	33.20400
# Y-coordinate location of direct beam (mm)	136.55100
# X-coordinate location of direct beam (pix)	187.38
# Y-coordinate location of direct beam (pix)	770.60
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20220603.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1460.340
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.295
# Number of integrated 2-theta bins	1071
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17727
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597106E-02	 2.4956483E-03	 4.5456031E+02	 1.3883507E+01	 6.2282602E-06	 3.8791226E-11	 1.9386717E-07	 5.9212303E-09	 1.2074552E-12	 3.6878963E-14	 2.4956483E-03	 2.4956483E-02	 2.5176566E+03	 2.5176566E+02	 3.9719476E-04	 3.9719476E-03	 6.7876013E+03	 2.0731179E+02	 5.4803070E+00	 1.6738347E-01	 3.1127019E-02	 9.5070373E-04	 3.0000000E+01
 1.7791317E-02	 2.6752176E-03	 3.7269455E+02	 1.0627170E+01	 7.1567890E-06	 5.1219629E-11	 1.8264899E-07	 5.2081303E-09	 1.3071803E-12	 3.7273490E-14	 2.6752176E-03	 2.6752176E-02	 2.3486633E+03	 2.3486633E+02	 4.2577410E-04	 4.2577410E-03	 5.5651625E+03	 1.5868739E+02	 4.4933103E+00	 1.2812415E-01	 2.5521081E-02	 7.2771886E-04	 3.1000000E+01
 1.8985528E-02	 2.8547869E-03	 2.9527718E+02	 7.6711605E+00	 8.1498080E-06	 6.6419371E-11	 1.6478713E-07	 4.2810911E-09	 1.3429834E-12	 3.4890071E-14	 2.8547869E-03	 2.8547869E-02	 2.2009297E+03	 2.2009297E+02	 4.5435344E-04	 4.5435344E-03	 4.4091482E+03	 1.1454757E+02	 3.5599447E+00	 9.2485670E-02	 2.0219756E-02	 5.2529962E-04	 3.4000000E+01
 2.0179739E-02	 3.0343562E-03	 2.3390943E+02	 5.3672575E+00	 9.2073173E-06	 8.4774692E-11	 1.4747787E-07	 3.3840094E-09	 1.3578755E-12	 3.1157649E-14	 3.0343562E-03	 3.0343562E-02	 2.0706815E+03	 2.0706815E+02	 4.8293278E-04	 4.8293278E-03	 3.4927905E+03	 8.0145150E+01	 2.8200778E+00	 6.4709167E-02	 1.6017463E-02	 3.6753479E-04	 3.8000000E+01
 2.1373950E-02	 3.2139255E-03	 1.8579037E+02	 5.1025196E+00	 1.0329317E-05	 1.0669479E-10	 1.3141375E-07	 3.6091282E-09	 1.3574143E-12	 3.7279828E-14	 3.2139255E-03	 3.2139255E-02	 1.9549879E+03	 1.9549879E+02	 5.1151212E-04	 5.1151212E-03	 2.7742655E+03	 7.6192022E+01	 2.2399410E+00	 6.1517412E-02	 1.2722405E-02	 3.4940628E-04	 3.4000000E+01
 2.2568161E-02	 3.3934948E-03	 1.4959130E+02	 3.1839425E+00	 1.1515807E-05	 1.3261380E-10	 1.1796325E-07	 2.5107623E-09	 1.3584419E-12	 2.8913453E-14	 3.3934948E-03	 3.3934948E-02	 1.8515382E+03	 1.8515382E+02	 5.4009147E-04	 5.4009147E-03	 2.2337324E+03	 4.7543377E+01	 1.8035148E+00	 3.8386506E-02	 1.0243594E-02	 2.1802748E-04	 4.1000000E+01
 2.3762372E-02	 3.5730641E-03	 1.2002600E+02	 2.4632476E+00	 1.2766787E-05	 1.6299084E-10	 1.0493079E-07	 2.1534545E-09	 1.3396291E-12	 2.7492694E-14	 3.5730641E-03	 3.5730641E-02	 1.7584866E+03	 1.7584866E+02	 5.6867081E-04	 5.6867081E-03	 1.7922564E+03	 3.6781792E+01	 1.4470672E+00	 2.9697607E-02	 8.2190449E-03	 1.6867631E-04	 4.3000000E+01
 2.4956583E-02	 3.7526334E-03	 9.9000129E+01	 2.2210502E+00	 1.4082257E-05	 1.9830997E-10	 9.5467170E-08	 2.1417889E-09	 1.3443932E-12	 3.0161223E-14	 3.7526334E-03	 3.7526334E-02	 1.6743403E+03	 1.6743403E+02	 5.9725015E-04	 5.9725015E-03	 1.4782932E+03	 3.3165244E+01	 1.1935734E+00	 2.6777607E-02	 6.7792520E-03	 1.5209131E-04	 4.1000000E+01
 2.6150794E-02	 3.9322027E-03	 8.2683713E+01	 1.5650436E+00	 1.5462218E-05	 2.3908018E-10	 8.7546296E-08	 1.6570829E-09	 1.3536599E-12	 2.5622177E-14	 3.9322027E-03	 3.9322027E-02	 1.5978793E+03	 1.5978793E+02	 6.2582949E-04	 6.2582949E-03	 1.2346526E+03	 2.3369599E+01	 9.9685811E-01	 1.8868606E-02	 5.6619495E-03	 1.0716981E-04	 4.6000000E+01
 2.7345005E-02	 4.1117720E-03	 6.9062756E+01	 1.2911914E+00	 1.6906669E-05	 2.8583544E-10	 7.9955430E-08	 1.4948399E-09	 1.3517800E-12	 2.5272763E-14	 4.1117720E-03	 4.1117720E-02	 1.5280967E+03	 1.5280967E+02	 6.5440883E-04	 6.5440883E-03	 1.0312613E+03	 1.9280373E+01	 8.3264002E-01	 1.5566967E-02	 4.7292244E-03	 8.8417176E-05	 4.6000000E+01
 2.8539216E-02	 4.2913413E-03	 5.8109459E+01	 8.4568222E-01	 1.8415610E-05	 3.3913468E-10	 7.3278902E-08	 1.0664471E-09	 1.3494757E-12	 1.9639274E-14	 4.2913413E-03	 4.2913413E-02	 1.4641542E+03	 1.4641542E+02	 6.8298817E-04	 6.8298817E-03	 8.6770409E+02	 1.2627926E+01	 7.0058398E-01	 1.0195783E-02	 3.9791732E-03	 5.7909954E-05	 5.4000000E+01
 2.9733427E-02	 4.4709105E-03	 4.8103615E+01	 8.1730873E-01	 1.9989041E-05	 3.9956177E-10	 6.5843922E-08	 1.1187270E-09	 1.3161569E-12	 2.2362280E-14	 4.4709105E-03	 4.4709105E-02	 1.4053480E+03	 1.4053480E+02	 7.1156751E-04	 7.1156751E-03	 7.1829448E+02	 1.2204246E+01	 5.7995071E-01	 9.8537040E-03	 3.2940010E-03	 5.5967017E-05	 5.1000000E+01
 3.0927638E-02	 4.6504798E-03	 4.1907202E+01	 6.3401535E-01	 2.1626963E-05	 4.6772552E-10	 6.2062637E-08	 9.3894753E-10	 1.3422263E-12	 2.0306583E-14	 4.6504798E-03	 4.6504798E-02	 1.3510832E+03	 1.3510832E+02	 7.4014686E-04	 7.4014686E-03	 6.2576819E+02	 9.4672661E+00	 5.0524502E-01	 7.6438674E-03	 2.8696881E-03	 4.3415598E-05	 5.6000000E+01
 3.2121849E-02	 4.8300491E-03	 3.6406918E+01	 5.7278446E-01	 2.3329375E-05	 5.4425972E-10	 5.8161156E-08	 9.1504057E-10	 1.3568634E-12	 2.1347324E-14	 4.8300491E-03	 4.8300491E-02	 1.3008533E+03	 1.3008533E+02	 7.6872620E-04	 7.6872620E-03	 5.4363665E+02	 8.5529522E+00	 4.3893204E-01	 6.9056507E-03	 2.4930439E-03	 3.9222679E-05	 5.5000000E+01
 3.3316060E-02	 5.0096184E-03	 3.0999952E+01	 4.0510968E-01	 2.5096277E-05	 6.2982311E-10	 5.3274127E-08	 6.9619025E-10	 1.3369822E-12	 1.7471783E-14	 5.0096184E-03	 5.0096184E-02	 1.2542243E+03	 1.2542243E+02	 7.9730554E-04	 7.9730554E-03	 4.6289857E+02	 6.0491929E+00	 3.7374415E-01	 4.8841163E-03	 2.1227900E-03	 2.7740778E-05	 5.9000000E+01
 3.4510271E-02	 5.1891877E-03	 2.6630742E+01	 2.9250474E-01	 2.6927669E-05	 7.2509937E-10	 4.9105264E-08	 5.3935870E-10	 1.3222903E-12	 1.4523673E-14	 5.1891877E-03	 5.1891877E-02	 1.2108225E+03	 1.2108225E+02	 8.2588488E-04	 8.2588488E-03	 3.9765649E+02	 4.3677495E+00	 3.2106772E-01	 3.5265194E-03	 1.8235987E-03	 2.0029907E-05	 6.4000000E+01
