# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-prerxnmix-try2/plot_files/an-3-17-1-prerxnmix-try2_hs102_210_0002.txt
# SPEC date/time stamp	Wed Mar 02 23:14:19 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646284459.306
# Rayonix Save date/time stamp	03/02 23:14:18.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722760 150071 0 -0.9271 -38.3311 0 0 -0.36 0 109.48 186.601 43.8869 65.91 73.555 121.947 626.89 1527.66 71.645 70.9548 70.7196 23.5578 1417.49 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-1-prerxnmix-try2/an-3-17-1-prerxnmix-try2_hs102_210_0002.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36138.00000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	750355.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.2635973E-01	 1.2803607E-03	 4.8080958E-01	 2.3117785E-01	 4.8319396E-04	 4.8960421E-06	 2.3232429E-04	 2.3540639E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 7.5378363E+02	 7.6378363E+00	 2.0861559E-02	 2.1138317E-04	 1.0049591E-03	 1.0182913E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.2780881E-01	 1.2948515E-03	 4.8610586E-01	 2.3629891E-01	 4.9411876E-04	 5.0059962E-06	 2.4019402E-04	 2.4334441E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 7.6242795E+02	 7.7242795E+00	 2.1100798E-02	 2.1377556E-04	 1.0164839E-03	 1.0298161E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.2912286E-01	 1.3079920E-03	 4.9143110E-01	 2.4150453E-01	 5.0466765E-04	 5.1121951E-06	 2.4800938E-04	 2.5122917E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 7.7026675E+02	 7.8026675E+00	 2.1317743E-02	 2.1594501E-04	 1.0269347E-03	 1.0402669E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.2982906E-01	 1.3150540E-03	 4.9678530E-01	 2.4679564E-01	 5.1295627E-04	 5.1957951E-06	 2.5482914E-04	 2.5811946E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 7.7447950E+02	 7.8447950E+00	 2.1434334E-02	 2.1711092E-04	 1.0325512E-03	 1.0458834E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.3045613E-01	 1.3213247E-03	 5.0216846E-01	 2.5217317E-01	 5.2101909E-04	 5.2771410E-06	 2.6163936E-04	 2.6500138E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 7.7822024E+02	 7.8822024E+00	 2.1537862E-02	 2.1814620E-04	 1.0375384E-03	 1.0508706E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.3140800E-01	 1.3308434E-03	 5.0758059E-01	 2.5763805E-01	 5.3047694E-04	 5.3724410E-06	 2.6925980E-04	 2.7269468E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 7.8389848E+02	 7.9389848E+00	 2.1695012E-02	 2.1971770E-04	 1.0451088E-03	 1.0584410E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.3259965E-01	 1.3427599E-03	 5.1302167E-01	 2.6319123E-01	 5.4102558E-04	 5.4786529E-06	 2.7755785E-04	 2.8106676E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 7.9100716E+02	 8.0100716E+00	 2.1891750E-02	 2.2168508E-04	 1.0545862E-03	 1.0679184E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.3386718E-01	 1.3554352E-03	 5.1849171E-01	 2.6883365E-01	 5.5202106E-04	 5.5893370E-06	 2.8621834E-04	 2.8980249E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 7.9856847E+02	 8.0856847E+00	 2.2101015E-02	 2.2377773E-04	 1.0646671E-03	 1.0779993E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.3466956E-01	 1.3634590E-03	 5.2399070E-01	 2.7456625E-01	 5.6121946E-04	 5.6820541E-06	 2.9407378E-04	 2.9773435E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 8.0335493E+02	 8.1335493E+00	 2.2233484E-02	 2.2510242E-04	 1.0710485E-03	 1.0843807E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.3542255E-01	 1.3709889E-03	 5.2951865E-01	 2.8039000E-01	 5.7031127E-04	 5.7737092E-06	 3.0199046E-04	 3.0572867E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 8.0784681E+02	 8.1784681E+00	 2.2357801E-02	 2.2634559E-04	 1.0770372E-03	 1.0903694E-05	 4.0600000E+02
