# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-prerxnmix-try2/plot_files/an-3-17-1-prerxnmix-try2_hs102_210_0007.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Wed Mar 02 23:14:46 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646284486.924
# Rayonix Save date/time stamp	03/02 23:14:43.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722766 149871 0 -0.9271 -38.3311 0 0 -0.36 0 109.91 182.384 43.552 64.809 73.796 121.94 626.889 1527.66 69.4834 68.8965 68.6354 23.5965 1417.5 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-1-prerxnmix-try2/an-3-17-1-prerxnmix-try2_hs102_210_0007.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36138.30000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	749355.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.2600293E-01	 1.2768151E-03	 4.8080958E-01	 2.3117785E-01	 4.8182959E-04	 4.8824839E-06	 2.3166828E-04	 2.3475451E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 7.5065309E+02	 7.6065309E+00	 2.0774747E-02	 2.1051502E-04	 1.0021214E-03	 1.0154714E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.2749824E-01	 1.2917682E-03	 4.8610586E-01	 2.3629891E-01	 4.9291808E-04	 4.9940759E-06	 2.3961037E-04	 2.4276495E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 7.5956128E+02	 7.6956128E+00	 2.1021286E-02	 2.1298041E-04	 1.0140139E-03	 1.0273639E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.2838915E-01	 1.3006773E-03	 4.9143110E-01	 2.4150453E-01	 5.0180002E-04	 5.0836062E-06	 2.4660014E-04	 2.4982422E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 7.6486883E+02	 7.7486883E+00	 2.1168175E-02	 2.1444931E-04	 1.0210994E-03	 1.0344494E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.2928074E-01	 1.3095932E-03	 4.9678530E-01	 2.4679564E-01	 5.1078989E-04	 5.1742197E-06	 2.5375291E-04	 2.5704763E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 7.7018043E+02	 7.8018043E+00	 2.1315177E-02	 2.1591932E-04	 1.0281904E-03	 1.0415404E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.3011954E-01	 1.3179812E-03	 5.0216846E-01	 2.5217317E-01	 5.1967483E-04	 5.2637877E-06	 2.6096431E-04	 2.6433082E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 7.7517752E+02	 7.8517752E+00	 2.1453474E-02	 2.1730230E-04	 1.0348615E-03	 1.0482115E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.3136599E-01	 1.3304457E-03	 5.0758059E-01	 2.5763805E-01	 5.3030735E-04	 5.3708355E-06	 2.6917372E-04	 2.7261318E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 7.8260311E+02	 7.9260311E+00	 2.1658981E-02	 2.1935737E-04	 1.0447747E-03	 1.0581247E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.3243425E-01	 1.3411283E-03	 5.1302167E-01	 2.6319123E-01	 5.4035071E-04	 5.4719955E-06	 2.7721162E-04	 2.8072522E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 7.8896719E+02	 7.9896719E+00	 2.1835111E-02	 2.2111867E-04	 1.0532707E-03	 1.0666207E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.3364825E-01	 1.3532683E-03	 5.1849171E-01	 2.6883365E-01	 5.5111825E-04	 5.5804011E-06	 2.8575024E-04	 2.8933917E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 7.9619950E+02	 8.0619950E+00	 2.2035269E-02	 2.2312025E-04	 1.0629259E-03	 1.0762759E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.3421425E-01	 1.3589283E-03	 5.2399070E-01	 2.7456625E-01	 5.5932201E-04	 5.6631728E-06	 2.9307953E-04	 2.9674499E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 7.9957141E+02	 8.0957141E+00	 2.2128589E-02	 2.2405344E-04	 1.0674274E-03	 1.0807774E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.3462981E-01	 1.3630839E-03	 5.2951865E-01	 2.8039000E-01	 5.6697278E-04	 5.7404185E-06	 3.0022266E-04	 3.0396587E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 8.0204710E+02	 8.1204710E+00	 2.2197105E-02	 2.2473861E-04	 1.0707324E-03	 1.0840824E-05	 4.0600000E+02
