# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-prerxnmix-try2/plot_files/an-3-17-1-prerxnmix-try2_hs103_210_0008.txt
# SPEC date/time stamp	Wed Mar 02 23:14:49 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646284489.117
# Rayonix Save date/time stamp	03/02 23:14:48.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722770 149236 0 -0.9271 -38.3311 0 0 -0.36 0 109.681 183.054 43.2703 64.606 73.855 121.946 626.891 1527.66 69.9536 69.4952 70.7691 23.5792 1417.5 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-1-prerxnmix-try2/an-3-17-1-prerxnmix-try2_hs103_210_0008.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36138.50000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	746180.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.2067949E-01	 1.2323126E-03	 1.8111705E-02	 3.2803386E-04	 1.1483555E-05	 1.1726375E-07	 2.0798675E-07	 2.1238464E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 4.7292384E+02	 4.8292384E+00	 1.3088361E-02	 1.3365115E-04	 6.3404051E-04	 6.4744733E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.2058515E-01	 1.2313693E-03	 1.8520370E-02	 3.4300411E-04	 1.1733485E-05	 1.1981785E-07	 2.1730849E-07	 2.2190708E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 4.7255414E+02	 4.8255414E+00	 1.3078129E-02	 1.3354884E-04	 6.3354486E-04	 6.4695168E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.2139364E-01	 1.2394541E-03	 1.8933594E-02	 3.5848098E-04	 1.2075706E-05	 1.2329545E-07	 2.2863652E-07	 2.3344261E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 4.7572248E+02	 4.8572248E+00	 1.3165814E-02	 1.3442569E-04	 6.3779259E-04	 6.5119941E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.2121761E-01	 1.2376939E-03	 1.9351377E-02	 3.7447579E-04	 1.2324268E-05	 1.2583708E-07	 2.3849155E-07	 2.4351208E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 4.7503265E+02	 4.8503265E+00	 1.3146723E-02	 1.3423477E-04	 6.3686776E-04	 6.5027458E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.2153366E-01	 1.2408544E-03	 1.9773719E-02	 3.9099995E-04	 1.2626078E-05	 1.2891181E-07	 2.4966451E-07	 2.5490658E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 4.7627120E+02	 4.8627120E+00	 1.3181000E-02	 1.3457755E-04	 6.3852825E-04	 6.5193507E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.2234468E-01	 1.2489646E-03	 2.0200619E-02	 4.0806502E-04	 1.2984742E-05	 1.3255568E-07	 2.6229983E-07	 2.6777068E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 4.7944947E+02	 4.8944947E+00	 1.3268961E-02	 1.3545715E-04	 6.4278931E-04	 6.5619613E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.2291450E-01	 1.2546627E-03	 2.0632079E-02	 4.2568267E-04	 1.3323847E-05	 1.3600458E-07	 2.7489866E-07	 2.8060571E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 4.8168249E+02	 4.9168249E+00	 1.3330760E-02	 1.3607514E-04	 6.4578307E-04	 6.5918989E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.2171959E-01	 1.2427136E-03	 2.1068097E-02	 4.4386471E-04	 1.3473156E-05	 1.3755612E-07	 2.8385375E-07	 2.8980456E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 4.7699983E+02	 4.8699983E+00	 1.3201166E-02	 1.3477920E-04	 6.3950511E-04	 6.5291193E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.2207837E-01	 1.2463014E-03	 2.1508674E-02	 4.6262306E-04	 1.3795450E-05	 1.4083813E-07	 2.9672185E-07	 3.0292415E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 4.7840582E+02	 4.8840582E+00	 1.3240077E-02	 1.3516831E-04	 6.4139009E-04	 6.5479691E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.2200949E-01	 1.2456127E-03	 2.1953810E-02	 4.8196977E-04	 1.4073012E-05	 1.4367343E-07	 3.0895623E-07	 3.1541791E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 4.7813591E+02	 4.8813591E+00	 1.3232607E-02	 1.3509361E-04	 6.4102823E-04	 6.5443506E-06	 2.1100000E+02
 9.9543388E-01	 1.4967800E-01	 1.2195916E-01	 1.2451093E-03	 2.2403505E-02	 5.0191702E-04	 1.4355354E-05	 1.4655714E-07	 3.2161025E-07	 3.2833936E-09	 1.4967800E-01	 1.4967800E+00	 4.1978014E+01	 4.1978014E+00	 2.3821994E-02	 2.3821994E-01	 4.7793866E+02	 4.8793866E+00	 1.3227148E-02	 1.3503902E-04	 6.4076378E-04	 6.5417060E-06	 2.0600000E+02
 1.0054752E+00	 1.5118782E-01	 1.2176199E-01	 1.2431376E-03	 2.2857758E-02	 5.2247710E-04	 1.4622745E-05	 1.4929195E-07	 3.3424316E-07	 3.4124792E-09	 1.5118782E-01	 1.5118782E+00	 4.1558805E+01	 4.1558805E+00	 2.4062289E-02	 2.4062289E-01	 4.7716598E+02	 4.8716598E+00	 1.3205764E-02	 1.3482518E-04	 6.3972787E-04	 6.5313469E-06	 2.1300000E+02
 1.0155165E+00	 1.5269764E-01	 1.2140465E-01	 1.2395642E-03	 2.3316570E-02	 5.4366245E-04	 1.4872484E-05	 1.5185085E-07	 3.4677533E-07	 3.5406411E-09	 1.5269764E-01	 1.5269764E+00	 4.1147887E+01	 4.1147887E+00	 2.4302585E-02	 2.4302585E-01	 4.7576562E+02	 4.8576562E+00	 1.3167008E-02	 1.3443762E-04	 6.3785043E-04	 6.5125725E-06	 2.0700000E+02
 1.0255579E+00	 1.5420746E-01	 1.2069547E-01	 1.2324724E-03	 2.3779941E-02	 5.6548561E-04	 1.5079442E-05	 1.5398255E-07	 3.5858824E-07	 3.6616961E-09	 1.5420746E-01	 1.5420746E+00	 4.0745015E+01	 4.0745015E+00	 2.4542880E-02	 2.4542880E-01	 4.7298644E+02	 4.8298644E+00	 1.3090094E-02	 1.3366848E-04	 6.3412444E-04	 6.4753126E-06	 2.2100000E+02
 1.0355992E+00	 1.5571728E-01	 1.2036745E-01	 1.2291922E-03	 2.4247871E-02	 5.8795924E-04	 1.5334379E-05	 1.5659466E-07	 3.7182605E-07	 3.7970872E-09	 1.5571728E-01	 1.5571728E+00	 4.0349956E+01	 4.0349956E+00	 2.4783175E-02	 2.4783175E-01	 4.7170100E+02	 4.8170100E+00	 1.3054518E-02	 1.3331272E-04	 6.3240107E-04	 6.4580789E-06	 2.1300000E+02
 1.0456405E+00	 1.5722709E-01	 1.2106782E-01	 1.2361960E-03	 2.4720359E-02	 6.1109617E-04	 1.5724145E-05	 1.6055567E-07	 3.8870652E-07	 3.9689938E-09	 1.5722709E-01	 1.5722709E+00	 3.9962484E+01	 3.9962484E+00	 2.5023469E-02	 2.5023469E-01	 4.7444565E+02	 4.8444565E+00	 1.3130478E-02	 1.3407232E-04	 6.3608077E-04	 6.4948759E-06	 2.2300000E+02
