# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-prerxnmix-try2/plot_files/an-3-17-1-prerxnmix-try2_hs104_210_0003.txt
# SPEC date/time stamp	Wed Mar 02 23:14:24 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646284464.342
# Rayonix Save date/time stamp	03/02 23:14:23.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722763 150755 0 -0.9271 -38.3311 0 0 -0.36 0 108.683 186.627 44.0952 65.747 73.683 121.943 626.888 1527.65 71.0693 70.4716 70.2117 23.5826 1417.5 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/an-3-17-1-prerxnmix-try2/an-3-17-1-prerxnmix-try2_hs104_210_0003.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36138.15000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	753775.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	32.45400
# Y-coordinate location of direct beam (mm)	137.08000
# X-coordinate location of direct beam (pix)	183.15
# Y-coordinate location of direct beam (pix)	773.59
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20210921.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1508.110
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.300
# Number of integrated 2-theta bins	1075
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17730
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597209E-02	 2.4956639E-03	 8.1472479E+01	 2.9587720E+00	 6.2283381E-06	 3.8792196E-11	 3.3647290E-08	 1.2219422E-09	 2.0956670E-13	 7.6106692E-15	 2.4956639E-03	 2.4956639E-02	 2.5176409E+03	 2.5176409E+02	 3.9719724E-04	 3.9719724E-03	 4.0705392E+03	 1.4782658E+02	 1.1265493E-01	 4.0912006E-03	 5.4022902E-03	 1.9619073E-04	 2.6000000E+01
 1.7791628E-02	 2.6752644E-03	 6.4121694E+01	 1.7722857E+00	 7.1570395E-06	 5.1223215E-11	 3.0430240E-08	 8.4107384E-10	 2.1779043E-13	 6.0195987E-15	 2.6752644E-03	 2.6752644E-02	 2.3486222E+03	 2.3486222E+02	 4.2578155E-04	 4.2578155E-03	 3.2036569E+03	 8.8547182E+01	 8.8663376E-02	 2.4506032E-03	 4.2517916E-03	 1.1751700E-04	 3.2000000E+01
 1.8986047E-02	 2.8548649E-03	 5.1226682E+01	 1.3989932E+00	 8.1502536E-06	 6.6426634E-11	 2.7684350E-08	 7.5605556E-10	 2.2563447E-13	 6.1620445E-15	 2.8548649E-03	 2.8548649E-02	 2.2008696E+03	 2.2008696E+02	 4.5436586E-04	 4.5436586E-03	 2.5593946E+03	 6.9896692E+01	 7.0832979E-02	 1.9344383E-03	 3.3967471E-03	 9.2764666E-05	 3.3000000E+01
 2.0180465E-02	 3.0344654E-03	 4.1288499E+01	 1.0152441E+00	 9.2079803E-06	 8.4786902E-11	 2.5209281E-08	 6.1987175E-10	 2.3212656E-13	 5.7077669E-15	 3.0344654E-03	 3.0344654E-02	 2.0706070E+03	 2.0706070E+02	 4.8295017E-04	 4.8295017E-03	 2.0628617E+03	 5.0723766E+01	 5.7091095E-02	 1.4038146E-03	 2.7377644E-03	 6.7318969E-05	 3.6000000E+01
 2.1374884E-02	 3.2140659E-03	 3.4203804E+01	 7.7562091E-01	 1.0330220E-05	 1.0671344E-10	 2.3428849E-08	 5.3128316E-10	 2.4202516E-13	 5.4882718E-15	 3.2140659E-03	 3.2140659E-02	 1.9549024E+03	 1.9549024E+02	 5.1153448E-04	 5.1153448E-03	 1.7088952E+03	 3.8751679E+01	 4.7294832E-02	 1.0724790E-03	 2.2679913E-03	 5.1429996E-05	 3.8000000E+01
 2.2569302E-02	 3.3936664E-03	 2.8317668E+01	 6.6586136E-01	 1.1516972E-05	 1.3264064E-10	 2.1625331E-08	 5.0849782E-10	 2.4905833E-13	 5.8563551E-15	 3.3936664E-03	 3.3936664E-02	 1.8514446E+03	 1.8514446E+02	 5.4011879E-04	 5.4011879E-03	 1.4148112E+03	 3.3267857E+01	 3.9155859E-02	 9.2071048E-04	 1.8776925E-03	 4.4152042E-05	 3.7000000E+01
 2.3763721E-02	 3.5732670E-03	 2.3573768E+01	 4.5193118E-01	 1.2768237E-05	 1.6302787E-10	 1.9958454E-08	 3.8262224E-10	 2.5483427E-13	 4.8854113E-15	 3.5732670E-03	 3.5732670E-02	 1.7583868E+03	 1.7583868E+02	 5.6870310E-04	 5.6870310E-03	 1.1777958E+03	 2.2579448E+01	 3.2596298E-02	 6.2490152E-04	 1.5631332E-03	 2.9966725E-05	 4.4000000E+01
 2.4958140E-02	 3.7528675E-03	 1.9679910E+01	 3.5725997E-01	 1.4084014E-05	 1.9835946E-10	 1.8378774E-08	 3.3363975E-10	 2.5884691E-13	 4.6989870E-15	 3.7528675E-03	 3.7528675E-02	 1.6742359E+03	 1.6742359E+02	 5.9728741E-04	 5.9728741E-03	 9.8325036E+02	 1.7849472E+01	 2.7212120E-02	 4.9399623E-04	 1.3049386E-03	 2.3689251E-05	 4.4000000E+01
 2.6152558E-02	 3.9324680E-03	 1.6405621E+01	 2.8596085E-01	 1.5464304E-05	 2.3914471E-10	 1.6822481E-08	 2.9322699E-10	 2.6014797E-13	 4.5345514E-15	 3.9324680E-03	 3.9324680E-02	 1.5977715E+03	 1.5977715E+02	 6.2587172E-04	 6.2587172E-03	 8.1965991E+02	 1.4287215E+01	 2.2684643E-02	 3.9540836E-04	 1.0878266E-03	 1.8961538E-05	 4.7000000E+01
 2.7346977E-02	 4.1120685E-03	 1.4023391E+01	 2.2877792E-01	 1.6909107E-05	 2.8591791E-10	 1.5723192E-08	 2.5650850E-10	 2.6586514E-13	 4.3373298E-15	 4.1120685E-03	 4.1120685E-02	 1.5279865E+03	 1.5279865E+02	 6.5445603E-04	 6.5445603E-03	 7.0063861E+02	 1.1430234E+01	 1.9390648E-02	 3.1633947E-04	 9.2986528E-04	 1.5169843E-05	 4.7000000E+01
 2.8541395E-02	 4.2916690E-03	 1.1931000E+01	 1.6148293E-01	 1.8418423E-05	 3.3923830E-10	 1.4571232E-08	 1.9721777E-10	 2.6837912E-13	 3.6324402E-15	 4.2916690E-03	 4.2916690E-02	 1.4640424E+03	 1.4640424E+02	 6.8304034E-04	 6.8304034E-03	 5.9609829E+02	 8.0680323E+00	 1.6497424E-02	 2.2328826E-04	 7.9112270E-04	 1.0707636E-05	 5.1000000E+01
 2.9735814E-02	 4.4712695E-03	 1.0354120E+01	 1.5018510E-01	 1.9992251E-05	 3.9969010E-10	 1.3725933E-08	 1.9909278E-10	 2.7441229E-13	 3.9803129E-15	 4.4712695E-03	 4.4712695E-02	 1.4052352E+03	 1.4052352E+02	 7.1162464E-04	 7.1162464E-03	 5.1731397E+02	 7.5035685E+00	 1.4317015E-02	 2.0766634E-04	 6.8656265E-04	 9.9584974E-06	 5.1000000E+01
 3.0930233E-02	 4.6508700E-03	 9.0989702E+00	 1.3493168E-01	 2.1630592E-05	 4.6788251E-10	 1.3050514E-08	 1.9353045E-10	 2.8229035E-13	 4.1861783E-15	 4.6508700E-03	 4.6508700E-02	 1.3509699E+03	 1.3509699E+02	 7.4020895E-04	 7.4020895E-03	 4.5460401E+02	 6.7414752E+00	 1.2581474E-02	 1.8657489E-04	 6.0333598E-04	 8.9470715E-06	 5.3000000E+01
 3.2124651E-02	 4.8304705E-03	 7.8571405E+00	 8.0572921E-02	 2.3333446E-05	 5.4444968E-10	 1.2156551E-08	 1.2466225E-10	 2.8365422E-13	 2.9087998E-15	 4.8304705E-03	 4.8304705E-02	 1.3007398E+03	 1.3007398E+02	 7.6879326E-04	 7.6879326E-03	 3.9255954E+02	 4.0255954E+00	 1.0864351E-02	 1.1141108E-04	 5.2099253E-04	 5.3426422E-06	 5.9000000E+01
 3.3319070E-02	 5.0100710E-03	 6.8491191E+00	 7.0492707E-02	 2.5100812E-05	 6.3005076E-10	 1.1399596E-08	 1.1732726E-10	 2.8613912E-13	 2.9450095E-15	 5.0100710E-03	 5.0100710E-02	 1.2541110E+03	 1.2541110E+02	 7.9737757E-04	 7.9737757E-03	 3.4219664E+02	 3.5219664E+00	 9.4705238E-03	 9.7472805E-05	 4.5415249E-04	 4.6742417E-06	 5.6000000E+01
 3.4513488E-02	 5.1896716E-03	 6.1482662E+00	 6.3806304E-02	 2.6932691E-05	 7.2536983E-10	 1.0979925E-08	 1.1394895E-10	 2.9571894E-13	 3.0689518E-15	 5.1896716E-03	 5.1896716E-02	 1.2107096E+03	 1.2107096E+02	 8.2596188E-04	 8.2596188E-03	 3.0718053E+02	 3.1878994E+00	 8.5014292E-03	 8.8227275E-05	 4.0768022E-04	 4.2308787E-06	 6.1000000E+01
 3.5707907E-02	 5.3692721E-03	 5.2359685E+00	 5.4361201E-02	 2.8829082E-05	 8.3111599E-10	 1.0009095E-08	 1.0391706E-10	 2.8855304E-13	 2.9958334E-15	 5.3692721E-03	 5.3692721E-02	 1.1702118E+03	 1.1702118E+02	 8.5454619E-04	 8.5454619E-03	 2.6160018E+02	 2.7160018E+00	 7.2399623E-03	 7.5167191E-05	 3.4718744E-04	 3.6045912E-06	 6.5000000E+01
 3.6902326E-02	 5.5488726E-03	 4.6647856E+00	 4.8649372E-02	 3.0789987E-05	 9.4802328E-10	 9.5237540E-09	 9.9323889E-11	 2.9323626E-13	 3.0581812E-15	 5.5488726E-03	 5.5488726E-02	 1.1323355E+03	 1.1323355E+02	 8.8313050E-04	 8.8313050E-03	 2.3306266E+02	 2.4306266E+00	 6.4501671E-03	 6.7269239E-05	 3.0931335E-04	 3.2258503E-06	 6.4000000E+01
 3.8096744E-02	 5.7284731E-03	 4.1715204E+00	 4.3716720E-02	 3.2815404E-05	 1.0768507E-09	 9.0769325E-09	 9.5124481E-11	 2.9786321E-13	 3.1215483E-15	 5.7284731E-03	 5.7284731E-02	 1.0968342E+03	 1.0968342E+02	 9.1171481E-04	 9.1171481E-03	 2.0841808E+02	 2.1841808E+00	 5.7681116E-03	 6.0448684E-05	 2.7660585E-04	 2.8987753E-06	 6.7000000E+01
 3.9291163E-02	 5.9080736E-03	 3.6910335E+00	 3.8911851E-02	 3.4905333E-05	 1.2183823E-09	 8.5429283E-09	 9.0061808E-11	 2.9819376E-13	 3.1436374E-15	 5.9080736E-03	 5.9080736E-02	 1.0634914E+03	 1.0634914E+02	 9.4029911E-04	 9.4029911E-03	 1.8441193E+02	 1.9441193E+00	 5.1037250E-03	 5.3804818E-05	 2.4474564E-04	 2.5801733E-06	 6.8000000E+01
 4.0485581E-02	 6.0876741E-03	 3.3717669E+00	 3.5719184E-02	 3.7059776E-05	 1.3734270E-09	 8.2856638E-09	 8.7775093E-11	 3.0706484E-13	 3.2529253E-15	 6.0876741E-03	 6.0876741E-02	 1.0321159E+03	 1.0321159E+02	 9.6888342E-04	 9.6888342E-03	 1.6846068E+02	 1.7846068E+00	 4.6622635E-03	 4.9390203E-05	 2.2357566E-04	 2.3684734E-06	 7.6000000E+01
 4.1680000E-02	 6.2672746E-03	 3.0916400E+00	 3.2917915E-02	 3.9278731E-05	 1.5428187E-09	 8.0521775E-09	 8.5734723E-11	 3.1627931E-13	 3.3675511E-15	 6.2672746E-03	 6.2672746E-02	 1.0025387E+03	 1.0025387E+02	 9.9746773E-04	 9.9746773E-03	 1.5446494E+02	 1.6446494E+00	 4.2749220E-03	 4.5516787E-05	 2.0500096E-04	 2.1827264E-06	 7.1000000E+01
 4.2874419E-02	 6.4468751E-03	 2.7459179E+00	 2.9460694E-02	 4.1562199E-05	 1.7274163E-09	 7.5675106E-09	 8.1191109E-11	 3.1452238E-13	 3.3744810E-15	 6.4468751E-03	 6.4468751E-02	 9.7460944E+02	 9.7460944E+01	 1.0260520E-03	 1.0260520E-02	 1.3719193E+02	 1.4719193E+00	 3.7968796E-03	 4.0736363E-05	 1.8207676E-04	 1.9534845E-06	 7.3000000E+01
 4.4068837E-02	 6.6264756E-03	 2.4671875E+00	 2.6673391E-02	 4.3910179E-05	 1.9281038E-09	 7.1834710E-09	 7.7662329E-11	 3.1542750E-13	 3.4101668E-15	 6.6264756E-03	 6.6264756E-02	 9.4819414E+02	 9.4819414E+01	 1.0546363E-03	 1.0546363E-02	 1.2326596E+02	 1.3326596E+00	 3.4114690E-03	 3.6882258E-05	 1.6359467E-04	 1.7686635E-06	 7.9000000E+01
 4.5263256E-02	 6.8060761E-03	 2.2273304E+00	 2.4958024E-02	 4.6322672E-05	 2.1457899E-09	 6.8414037E-09	 7.6660346E-11	 3.1691210E-13	 3.5511121E-15	 6.8060761E-03	 6.8060761E-02	 9.2317294E+02	 9.2317294E+01	 1.0832207E-03	 1.0832207E-02	 1.1128219E+02	 1.2469562E+00	 3.0798099E-03	 3.4510359E-05	 1.4769018E-04	 1.6549206E-06	 7.8000000E+01
 4.6457674E-02	 6.9856766E-03	 2.0184722E+00	 2.7606171E-02	 4.8799678E-05	 2.3814085E-09	 6.5314065E-09	 8.9328515E-11	 3.1873053E-13	 4.3592027E-15	 6.9856766E-03	 6.9856766E-02	 8.9943833E+02	 8.9943833E+01	 1.1118050E-03	 1.1118050E-02	 1.0084719E+02	 1.3792633E+00	 2.7910143E-03	 3.8172048E-05	 1.3384118E-04	 1.8305144E-06	 8.5000000E+01
 4.7652093E-02	 7.1652771E-03	 1.8292890E+00	 2.2393664E-02	 5.1341196E-05	 2.6359184E-09	 6.2275221E-09	 7.6235651E-11	 3.1972843E-13	 3.9140295E-15	 7.1652771E-03	 7.1652771E-02	 8.7689355E+02	 8.7689355E+01	 1.1403893E-03	 1.1403893E-02	 9.1395188E+01	 1.1188353E+00	 2.5294238E-03	 3.0964525E-05	 1.2129679E-04	 1.4848826E-06	 8.1000000E+01
 4.8846512E-02	 7.3448776E-03	 1.8197527E+00	 2.2318038E-02	 5.3947227E-05	 2.9103033E-09	 6.5095126E-09	 7.9834777E-11	 3.5117016E-13	 4.3068648E-15	 7.3448776E-03	 7.3448776E-02	 8.5545133E+02	 8.5545133E+01	 1.1689736E-03	 1.1689736E-02	 9.0918735E+01	 1.1150569E+00	 2.5162376E-03	 3.0859955E-05	 1.2066445E-04	 1.4798680E-06	 8.6000000E+01
