# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-try2/plot_files/an-3-17-1-try2_hs102_211_0069.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Wed Mar 02 23:22:08 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646284928.511
# Rayonix Save date/time stamp	03/02 23:22:05.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722824 149461 0 -0.9271 -38.3311 0 0 -0.36 0 109.896 187.537 44.4948 66.137 74.854 121.898 626.88 1527.65 70.8322 70.32 69.9922 23.6256 1417.52 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-1-try2/an-3-17-1-try2_hs102_211_0069.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36141.20000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	747305.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.2467138E-01	 1.2635456E-03	 4.8080958E-01	 2.3117785E-01	 4.7673780E-04	 4.8317422E-06	 2.2922010E-04	 2.3231479E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 7.4068784E+02	 7.5068784E+00	 2.0497308E-02	 2.0774041E-04	 9.9153140E-04	 1.0049180E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.2549640E-01	 1.2717959E-03	 4.8610586E-01	 2.3629891E-01	 4.8517883E-04	 4.9168615E-06	 2.3584827E-04	 2.3901152E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 7.4558941E+02	 7.5558941E+00	 2.0632950E-02	 2.0909684E-04	 9.9809295E-04	 1.0114796E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.2598920E-01	 1.2767239E-03	 4.9143110E-01	 2.4150453E-01	 4.9241999E-04	 4.9899859E-06	 2.4199050E-04	 2.4522343E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 7.4851719E+02	 7.5851719E+00	 2.0713972E-02	 2.0990705E-04	 1.0020123E-03	 1.0153989E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.2658405E-01	 1.2826724E-03	 4.9678530E-01	 2.4679564E-01	 5.0013523E-04	 5.0678551E-06	 2.4845983E-04	 2.5176359E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 7.5205127E+02	 7.6205127E+00	 2.0811772E-02	 2.1088505E-04	 1.0067432E-03	 1.0201298E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.2709025E-01	 1.2877343E-03	 5.0216846E-01	 2.5217317E-01	 5.0757635E-04	 5.1429870E-06	 2.5488884E-04	 2.5826459E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 7.5505865E+02	 7.6505865E+00	 2.0894996E-02	 2.1171729E-04	 1.0107691E-03	 1.0241557E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.2767727E-01	 1.2936046E-03	 5.0758059E-01	 2.5763805E-01	 5.1541649E-04	 5.2221128E-06	 2.6161540E-04	 2.6506431E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 7.5854621E+02	 7.6854621E+00	 2.0991509E-02	 2.1268242E-04	 1.0154377E-03	 1.0288244E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.2869205E-01	 1.3037523E-03	 5.1302167E-01	 2.6319123E-01	 5.2508200E-04	 5.3194964E-06	 2.6937845E-04	 2.7290169E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 7.6457513E+02	 7.7457513E+00	 2.1158349E-02	 2.1435082E-04	 1.0235084E-03	 1.0368951E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.2988422E-01	 1.3156741E-03	 5.1849171E-01	 2.6883365E-01	 5.3559674E-04	 5.4253759E-06	 2.7770247E-04	 2.8130124E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 7.7165798E+02	 7.8165798E+00	 2.1354355E-02	 2.1631088E-04	 1.0329900E-03	 1.0463766E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.3076453E-01	 1.3244771E-03	 5.2399070E-01	 2.7456625E-01	 5.4494571E-04	 5.5196018E-06	 2.8554649E-04	 2.8922200E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 7.7688798E+02	 7.8688798E+00	 2.1499086E-02	 2.1775820E-04	 1.0399912E-03	 1.0533778E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.3171844E-01	 1.3340163E-03	 5.2951865E-01	 2.8039000E-01	 5.5471199E-04	 5.6180046E-06	 2.9373035E-04	 2.9748382E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 7.8255529E+02	 7.9255529E+00	 2.1655920E-02	 2.1932653E-04	 1.0475778E-03	 1.0609644E-05	 4.0600000E+02
