# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-try2/plot_files/an-3-17-1-try2_hs102_211_0169.txt
# SPEC date/time stamp	Wed Mar 02 23:30:26 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646285426.456
# Rayonix Save date/time stamp	03/02 23:30:26.000000 2022
# Rayonix Detector Name	LX170HS S/N:102
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722844 148238 0 -0.9271 -38.3311 0 0 -0.36 0 110.191 182.678 42.9189 65.378 74.681 121.891 626.862 1527.62 69.5278 69.0274 68.6932 23.8222 1417.59 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	0.0
# X pixel size (mm)	0.08860
# Y pixel size (mm)	0.08860
# X binning	2
# Y binning	2
# Image filename	../hs102/an-3-17-1-try2/an-3-17-1-try2_hs102_211_0169.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36142.20000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	741190.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	LaB6 SRM660a
# Sample to detector distance (mm)	200.43
# X-coordinate location of direct beam (mm)	85.13500
# Y-coordinate location of direct beam (mm)	86.13800
# X-coordinate location of direct beam (pix)	960.89
# Y-coordinate location of direct beam (pix)	972.21
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	45.000
# Mask used for integration (GSASII immask file)	hs102_20161005.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	12.574
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	4.600
# Highest integrated 2-theta	30.000
# Number of integrated 2-theta bins	1002
# Width of 2-theta integrated bins (degrees)	0.02535
# Width on detector at 2-theta=0 (mm)	0.08868
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 4.6126747E+00	 6.9340434E-01	 1.2478061E-01	 1.2647769E-03	 4.8080958E-01	 2.3117785E-01	 4.7715551E-04	 4.8364505E-06	 2.2942094E-04	 2.3254117E-06	 6.9340434E-01	 6.9340434E+00	 9.0613585E+00	 9.0613585E-01	 1.1035873E-01	 1.1035873E+00	 7.3526829E+02	 7.4526829E+00	 2.0346768E-02	 2.0623493E-04	 9.9240017E-04	 1.0058973E-05	 3.8500000E+02
 4.6380240E+00	 6.9721292E-01	 1.2555882E-01	 1.2725590E-03	 4.8610586E-01	 2.3629891E-01	 4.8542015E-04	 4.9198118E-06	 2.3596558E-04	 2.3915493E-06	 6.9721292E-01	 6.9721292E+00	 9.0118601E+00	 9.0118601E-01	 1.1096488E-01	 1.1096488E+00	 7.3985388E+02	 7.4985388E+00	 2.0473663E-02	 2.0750388E-04	 9.9858939E-04	 1.0120865E-05	 3.8900000E+02
 4.6633733E+00	 7.0102147E-01	 1.2597945E-01	 1.2767652E-03	 4.9143110E-01	 2.4150453E-01	 4.9238185E-04	 4.9901475E-06	 2.4197175E-04	 2.4523137E-06	 7.0102147E-01	 7.0102147E+00	 8.9629000E+00	 8.9629000E-01	 1.1157103E-01	 1.1157103E+00	 7.4233239E+02	 7.5233239E+00	 2.0542249E-02	 2.0818975E-04	 1.0019347E-03	 1.0154318E-05	 3.8400000E+02
 4.6887226E+00	 7.0482998E-01	 1.2665508E-01	 1.2835216E-03	 4.9678530E-01	 2.4679564E-01	 5.0041587E-04	 5.0712104E-06	 2.4859925E-04	 2.5193028E-06	 7.0482998E-01	 7.0482998E+00	 8.9144694E+00	 8.9144694E-01	 1.1217718E-01	 1.1217718E+00	 7.4631358E+02	 7.5631358E+00	 2.0652419E-02	 2.0929145E-04	 1.0073081E-03	 1.0208052E-05	 3.8600000E+02
 4.7140719E+00	 7.0863846E-01	 1.2717402E-01	 1.2887110E-03	 5.0216846E-01	 2.5217317E-01	 5.0791092E-04	 5.1468875E-06	 2.5505685E-04	 2.5846046E-06	 7.0863846E-01	 7.0863846E+00	 8.8665599E+00	 8.8665599E-01	 1.1278331E-01	 1.1278331E+00	 7.4937141E+02	 7.5937141E+00	 2.0737037E-02	 2.1013763E-04	 1.0114353E-03	 1.0249324E-05	 4.0200000E+02
 4.7394212E+00	 7.1244690E-01	 1.2778145E-01	 1.2947852E-03	 5.0758059E-01	 2.5763805E-01	 5.1583703E-04	 5.2268791E-06	 2.6182886E-04	 2.6530623E-06	 7.1244690E-01	 7.1244690E+00	 8.8191629E+00	 8.8191629E-01	 1.1338945E-01	 1.1338945E+00	 7.5295067E+02	 7.6295067E+00	 2.0836084E-02	 2.1112810E-04	 1.0162663E-03	 1.0297634E-05	 3.9100000E+02
 4.7647705E+00	 7.1625531E-01	 1.2855721E-01	 1.3025429E-03	 5.1302167E-01	 2.6319123E-01	 5.2453185E-04	 5.3145617E-06	 2.6909621E-04	 2.7264853E-06	 7.1625531E-01	 7.1625531E+00	 8.7722705E+00	 8.7722705E-01	 1.1399557E-01	 1.1399557E+00	 7.5752185E+02	 7.6752185E+00	 2.0962581E-02	 2.1239307E-04	 1.0224361E-03	 1.0359332E-05	 4.0100000E+02
 4.7901198E+00	 7.2006368E-01	 1.2961421E-01	 1.3131128E-03	 5.1849171E-01	 2.6883365E-01	 5.3448328E-04	 5.4148143E-06	 2.7712515E-04	 2.8075363E-06	 7.2006368E-01	 7.2006368E+00	 8.7258745E+00	 8.7258745E-01	 1.1460169E-01	 1.1460169E+00	 7.6375017E+02	 7.7375017E+00	 2.1134935E-02	 2.1411660E-04	 1.0308425E-03	 1.0443396E-05	 4.0200000E+02
 4.8154691E+00	 7.2387202E-01	 1.3012686E-01	 1.3182394E-03	 5.2399070E-01	 2.7456625E-01	 5.4228831E-04	 5.4936067E-06	 2.8415403E-04	 2.8785988E-06	 7.2387202E-01	 7.2387202E+00	 8.6799671E+00	 8.6799671E-01	 1.1520781E-01	 1.1520781E+00	 7.6677099E+02	 7.7677099E+00	 2.1218528E-02	 2.1495254E-04	 1.0349197E-03	 1.0484168E-05	 4.0000000E+02
 4.8408184E+00	 7.2768032E-01	 1.3105041E-01	 1.3274748E-03	 5.2951865E-01	 2.8039000E-01	 5.5189867E-04	 5.5904564E-06	 2.9224064E-04	 2.9602509E-06	 7.2768032E-01	 7.2768032E+00	 8.6345406E+00	 8.6345406E-01	 1.1581392E-01	 1.1581392E+00	 7.7221297E+02	 7.8221297E+00	 2.1369122E-02	 2.1645848E-04	 1.0422648E-03	 1.0557619E-05	 4.0600000E+02
 4.8661677E+00	 7.3148859E-01	 1.3207333E-01	 1.3377041E-03	 5.3507556E-01	 2.8630585E-01	 5.6204353E-04	 5.6926551E-06	 3.0073575E-04	 3.0460006E-06	 7.3148859E-01	 7.3148859E+00	 8.5895876E+00	 8.5895876E-01	 1.1642002E-01	 1.1642002E+00	 7.7824054E+02	 7.8824054E+00	 2.1535920E-02	 2.1812646E-04	 1.0504003E-03	 1.0638974E-05	 3.9300000E+02
 4.8915170E+00	 7.3529682E-01	 1.3308649E-01	 1.3478357E-03	 5.4066141E-01	 2.9231476E-01	 5.7226747E-04	 5.7956484E-06	 3.0940294E-04	 3.1334834E-06	 7.3529682E-01	 7.3529682E+00	 8.5451006E+00	 8.5451006E-01	 1.1702612E-01	 1.1702612E+00	 7.8421057E+02	 7.9421057E+00	 2.1701126E-02	 2.1977852E-04	 1.0584581E-03	 1.0719552E-05	 4.2100000E+02
 4.9168663E+00	 7.3910501E-01	 1.3418682E-01	 1.3588390E-03	 5.4627622E-01	 2.9841771E-01	 5.8299102E-04	 5.9036417E-06	 3.1847413E-04	 3.2250191E-06	 7.3910501E-01	 7.3910501E+00	 8.5010725E+00	 8.5010725E-01	 1.1763222E-01	 1.1763222E+00	 7.9069424E+02	 8.0069424E+00	 2.1880546E-02	 2.2157272E-04	 1.0672092E-03	 1.0807063E-05	 4.1000000E+02
 4.9422156E+00	 7.4291317E-01	 1.3572773E-01	 1.3742480E-03	 5.5191998E-01	 3.0461567E-01	 5.9577793E-04	 6.0322725E-06	 3.2882174E-04	 3.3293318E-06	 7.4291317E-01	 7.4291317E+00	 8.4574962E+00	 8.4574962E-01	 1.1823830E-01	 1.1823830E+00	 7.9977403E+02	 8.0977403E+00	 2.2131808E-02	 2.2408533E-04	 1.0794643E-03	 1.0929614E-05	 4.1700000E+02
 4.9675649E+00	 7.4672130E-01	 1.3659524E-01	 1.3829232E-03	 5.5759269E-01	 3.1090961E-01	 6.0574851E-04	 6.1327440E-06	 3.3776094E-04	 3.4195732E-06	 7.4672130E-01	 7.4672130E+00	 8.4143647E+00	 8.4143647E-01	 1.1884439E-01	 1.1884439E+00	 8.0488584E+02	 8.1488584E+00	 2.2273264E-02	 2.2549990E-04	 1.0863638E-03	 1.0998609E-05	 4.1100000E+02
 4.9929142E+00	 7.5052938E-01	 1.3797193E-01	 1.3966900E-03	 5.6329435E-01	 3.1730053E-01	 6.1811009E-04	 6.2571294E-06	 3.4817792E-04	 3.5246056E-06	 7.5052938E-01	 7.5052938E+00	 8.3716713E+00	 8.3716713E-01	 1.1945046E-01	 1.1945046E+00	 8.1299794E+02	 8.2299794E+00	 2.2497747E-02	 2.2774473E-04	 1.0973128E-03	 1.1108099E-05	 4.1900000E+02
 5.0182635E+00	 7.5433743E-01	 1.3919007E-01	 1.4088715E-03	 5.6902496E-01	 3.2378940E-01	 6.2991114E-04	 6.3759134E-06	 3.5843516E-04	 3.6280538E-06	 7.5433743E-01	 7.5433743E+00	 8.3294094E+00	 8.3294094E-01	 1.2005653E-01	 1.2005653E+00	 8.2017586E+02	 8.3017586E+00	 2.2696379E-02	 2.2973104E-04	 1.1070009E-03	 1.1204980E-05	 4.2400000E+02
 5.0436128E+00	 7.5814544E-01	 1.4022801E-01	 1.4192509E-03	 5.7478451E-01	 3.3037724E-01	 6.4103176E-04	 6.4878969E-06	 3.6845513E-04	 3.7291427E-06	 7.5814544E-01	 7.5814544E+00	 8.2875725E+00	 8.2875725E-01	 1.2066259E-01	 1.2066259E+00	 8.2629190E+02	 8.3629190E+00	 2.2865625E-02	 2.3142351E-04	 1.1152558E-03	 1.1287529E-05	 4.1100000E+02
