# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-try2/plot_files/an-3-17-1-try2_hs103_211_0127.txt
# **WARNING**	SPEC time and image save time are more than 2 sec apart
# SPEC date/time stamp	Wed Mar 02 23:26:58 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646285218.794
# Rayonix Save date/time stamp	03/02 23:26:55.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722826 148206 0 -0.9271 -38.3311 0 0 -0.36 0 108.333 188.233 44.6125 65.711 74.782 121.922 626.874 1527.64 69.8441 69.3268 68.999 23.7444 1417.56 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-1-try2/an-3-17-1-try2_hs103_211_0127.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36141.30000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	741030.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.1666223E-01	 1.1923175E-03	 1.8111705E-02	 3.2803386E-04	 1.1101283E-05	 1.1345791E-07	 2.0106316E-07	 2.0549162E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 4.5402424E+02	 4.6402424E+00	 1.2564333E-02	 1.2841066E-04	 6.1293416E-04	 6.2643419E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.1684146E-01	 1.1941097E-03	 1.8520370E-02	 3.4300411E-04	 1.1369207E-05	 1.1619232E-07	 2.1056191E-07	 2.1519248E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 4.5472173E+02	 4.6472173E+00	 1.2583635E-02	 1.2860368E-04	 6.1387578E-04	 6.2737581E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.1605457E-01	 1.1862409E-03	 1.8933594E-02	 3.5848098E-04	 1.1544599E-05	 1.1800203E-07	 2.1858075E-07	 2.2342026E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 4.5165935E+02	 4.6165935E+00	 1.2498889E-02	 1.2775622E-04	 6.0974156E-04	 6.2324159E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.1684837E-01	 1.1941789E-03	 1.9351377E-02	 3.7447579E-04	 1.1880045E-05	 1.2141289E-07	 2.2989522E-07	 2.3495066E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 4.5474864E+02	 4.6474864E+00	 1.2584380E-02	 1.2861112E-04	 6.1391211E-04	 6.2741214E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.1647260E-01	 1.1904212E-03	 1.9773719E-02	 3.9099995E-04	 1.2100287E-05	 1.2367232E-07	 2.3926766E-07	 2.4454618E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 4.5328622E+02	 4.6328622E+00	 1.2543910E-02	 1.2820642E-04	 6.1193784E-04	 6.2543787E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.1631515E-01	 1.1888467E-03	 2.0200619E-02	 4.0806502E-04	 1.2344813E-05	 1.2617522E-07	 2.4937287E-07	 2.5488176E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 4.5267348E+02	 4.6267348E+00	 1.2526953E-02	 1.2803686E-04	 6.1111063E-04	 6.2461066E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.1571361E-01	 1.1828313E-03	 2.0632079E-02	 4.2568267E-04	 1.2543276E-05	 1.2821809E-07	 2.5879385E-07	 2.6454058E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 4.5033240E+02	 4.6033240E+00	 1.2462168E-02	 1.2738900E-04	 6.0795016E-04	 6.2145019E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.1588560E-01	 1.1845511E-03	 2.1068097E-02	 4.4386471E-04	 1.2827390E-05	 1.3111810E-07	 2.7024870E-07	 2.7624089E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 4.5100174E+02	 4.6100174E+00	 1.2480691E-02	 1.2757423E-04	 6.0885378E-04	 6.2235381E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.1580323E-01	 1.1837275E-03	 2.1508674E-02	 4.6262306E-04	 1.3086330E-05	 1.3376697E-07	 2.8146960E-07	 2.8771502E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 4.5068118E+02	 4.6068118E+00	 1.2471820E-02	 1.2748552E-04	 6.0842103E-04	 6.2192106E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.1640123E-01	 1.1897075E-03	 2.1953810E-02	 4.8196977E-04	 1.3426135E-05	 1.3722512E-07	 2.9475481E-07	 3.0126142E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 4.5300847E+02	 4.6300847E+00	 1.2536223E-02	 1.2812956E-04	 6.1156287E-04	 6.2506290E-06	 2.1100000E+02
 9.9543388E-01	 1.4967800E-01	 1.1604145E-01	 1.1861097E-03	 2.2403505E-02	 5.0191702E-04	 1.3658803E-05	 1.3961251E-07	 3.0600506E-07	 3.1278096E-09	 1.4967800E-01	 1.4967800E+00	 4.1978014E+01	 4.1978014E+00	 2.3821994E-02	 2.3821994E-01	 4.5160829E+02	 4.6160829E+00	 1.2497476E-02	 1.2774209E-04	 6.0967262E-04	 6.2317265E-06	 2.0600000E+02
 1.0054752E+00	 1.5118782E-01	 1.1644312E-01	 1.1901263E-03	 2.2857758E-02	 5.2247710E-04	 1.3983986E-05	 1.4292567E-07	 3.1964257E-07	 3.2669603E-09	 1.5118782E-01	 1.5118782E+00	 4.1558805E+01	 4.1558805E+00	 2.4062289E-02	 2.4062289E-01	 4.5317147E+02	 4.6317147E+00	 1.2540734E-02	 1.2817467E-04	 6.1178293E-04	 6.2528296E-06	 2.1300000E+02
 1.0155165E+00	 1.5269764E-01	 1.1708699E-01	 1.1965651E-03	 2.3316570E-02	 5.4366245E-04	 1.4343556E-05	 1.4658331E-07	 3.3444254E-07	 3.4178200E-09	 1.5269764E-01	 1.5269764E+00	 4.1147887E+01	 4.1147887E+00	 2.4302585E-02	 2.4302585E-01	 4.5567729E+02	 4.6567729E+00	 1.2610079E-02	 1.2886811E-04	 6.1516579E-04	 6.2866583E-06	 2.0700000E+02
 1.0255579E+00	 1.5420746E-01	 1.1666951E-01	 1.1923903E-03	 2.3779941E-02	 5.6548561E-04	 1.4576447E-05	 1.4897477E-07	 3.4662706E-07	 3.5426114E-09	 1.5420746E-01	 1.5420746E+00	 4.0745015E+01	 4.0745015E+00	 2.4542880E-02	 2.4542880E-01	 4.5405256E+02	 4.6405256E+00	 1.2565117E-02	 1.2841849E-04	 6.1297239E-04	 6.2647242E-06	 2.2100000E+02
 1.0355992E+00	 1.5571728E-01	 1.1609850E-01	 1.1866801E-03	 2.4247871E-02	 5.8795924E-04	 1.4790530E-05	 1.5117877E-07	 3.5863887E-07	 3.6657634E-09	 1.5571728E-01	 1.5571728E+00	 4.0349956E+01	 4.0349956E+00	 2.4783175E-02	 2.4783175E-01	 4.5183030E+02	 4.6183030E+00	 1.2503620E-02	 1.2780352E-04	 6.0997234E-04	 6.2347237E-06	 2.1300000E+02
