# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-try2/plot_files/an-3-17-1-try2_hs103_211_0204.txt
# SPEC date/time stamp	Wed Mar 02 23:33:21 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646285601.616
# Rayonix Save date/time stamp	03/02 23:33:21.000000 2022
# Rayonix Detector Name	LX170HS S/N:103
# Rayonix Detector Type	LX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722852 147273 0 -0.9271 -38.3311 0 0 -0.36 0 109.194 187.804 44.0879 66.772 75.153 121.896 626.866 1527.63 72.5946 71.9979 71.6086 23.9266 1417.57 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs103/an-3-17-1-try2/an-3-17-1-try2_hs103_211_0204.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36142.60000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	736365.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Ag Behenate
# Sample to detector distance (mm)	1012.4
# X-coordinate location of direct beam (mm)	84.88900
# Y-coordinate location of direct beam (mm)	86.12900
# X-coordinate location of direct beam (pix)	479.06
# Y-coordinate location of direct beam (pix)	486.06
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	225.000
# Mask used for integration (GSASII immask file)	hs103_20190206.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	19.033
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.890
# Highest integrated 2-theta	5.750
# Number of integrated 2-theta bins	484
# Width of 2-theta integrated bins (degrees)	0.01004
# Width on detector at 2-theta=0 (mm)	0.17743
# Center of Azimuth range (degrees)	135.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 8.9502066E-01	 1.3457973E-01	 1.1791186E-01	 1.2049766E-03	 1.8111705E-02	 3.2803386E-04	 1.1220194E-05	 1.1466252E-07	 2.0321684E-07	 2.0767337E-09	 1.3457973E-01	 1.3457973E+00	 4.6687455E+01	 4.6687455E+00	 2.1419030E-02	 2.1419030E-01	 4.5599754E+02	 4.6599754E+00	 1.2618487E-02	 1.2895210E-04	 6.1949959E-04	 6.3308518E-06	 1.7900000E+02
 9.0506198E-01	 1.3608957E-01	 1.1708691E-01	 1.1967271E-03	 1.8520370E-02	 3.4300411E-04	 1.1393090E-05	 1.1644701E-07	 2.1100425E-07	 2.1566416E-09	 1.3608957E-01	 1.3608957E+00	 4.6169486E+01	 4.6169486E+00	 2.1659327E-02	 2.1659327E-01	 4.5280724E+02	 4.6280724E+00	 1.2530204E-02	 1.2806927E-04	 6.1516538E-04	 6.2875097E-06	 1.9600000E+02
 9.1510331E-01	 1.3759940E-01	 1.1651070E-01	 1.1909650E-03	 1.8933594E-02	 3.5848098E-04	 1.1589972E-05	 1.1847196E-07	 2.1943983E-07	 2.2431001E-09	 1.3759940E-01	 1.3759940E+00	 4.5662884E+01	 4.5662884E+00	 2.1899624E-02	 2.1899624E-01	 4.5057886E+02	 4.6057886E+00	 1.2468540E-02	 1.2745262E-04	 6.1213800E-04	 6.2572359E-06	 1.8800000E+02
 9.2514463E-01	 1.3910923E-01	 1.1670896E-01	 1.1929476E-03	 1.9351377E-02	 3.7447579E-04	 1.1865870E-05	 1.2128770E-07	 2.2962093E-07	 2.3470841E-09	 1.3910923E-01	 1.3910923E+00	 4.5167279E+01	 4.5167279E+00	 2.2139921E-02	 2.2139921E-01	 4.5134559E+02	 4.6134559E+00	 1.2489757E-02	 1.2766480E-04	 6.1317965E-04	 6.2676524E-06	 1.9200000E+02
 9.3518595E-01	 1.4061906E-01	 1.1684746E-01	 1.1943326E-03	 1.9773719E-02	 3.9099995E-04	 1.2139231E-05	 1.2407869E-07	 2.4003774E-07	 2.4534970E-09	 1.4061906E-01	 1.4061906E+00	 4.4682318E+01	 4.4682318E+00	 2.2380218E-02	 2.2380218E-01	 4.5188123E+02	 4.6188123E+00	 1.2504579E-02	 1.2781302E-04	 6.1390734E-04	 6.2749293E-06	 1.9800000E+02
 9.4522727E-01	 1.4212888E-01	 1.1644550E-01	 1.1903130E-03	 2.0200619E-02	 4.0806502E-04	 1.2358647E-05	 1.2633084E-07	 2.4965232E-07	 2.5519613E-09	 1.4212888E-01	 1.4212888E+00	 4.4207660E+01	 4.4207660E+00	 2.2620514E-02	 2.2620514E-01	 4.5032673E+02	 4.6032673E+00	 1.2461563E-02	 1.2738285E-04	 6.1179545E-04	 6.2538104E-06	 1.9400000E+02
 9.5526860E-01	 1.4363871E-01	 1.1710656E-01	 1.1969236E-03	 2.0632079E-02	 4.2568267E-04	 1.2694271E-05	 1.2974570E-07	 2.6190919E-07	 2.6769234E-09	 1.4363871E-01	 1.4363871E+00	 4.3742981E+01	 4.3742981E+00	 2.2860811E-02	 2.2860811E-01	 4.5288323E+02	 4.6288323E+00	 1.2532307E-02	 1.2809030E-04	 6.1526862E-04	 6.2885421E-06	 2.0400000E+02
 9.6530992E-01	 1.4514853E-01	 1.1636388E-01	 1.1894968E-03	 2.1068097E-02	 4.4386471E-04	 1.2880331E-05	 1.3166554E-07	 2.7136406E-07	 2.7739423E-09	 1.4514853E-01	 1.4514853E+00	 4.3287969E+01	 4.3287969E+00	 2.3101107E-02	 2.3101107E-01	 4.5001107E+02	 4.6001107E+00	 1.2452828E-02	 1.2729550E-04	 6.1136661E-04	 6.2495220E-06	 1.9800000E+02
 9.7535124E-01	 1.4665836E-01	 1.1644033E-01	 1.1902613E-03	 2.1508674E-02	 4.6262306E-04	 1.3158325E-05	 1.3450533E-07	 2.8301813E-07	 2.8930314E-09	 1.4665836E-01	 1.4665836E+00	 4.2842327E+01	 4.2842327E+00	 2.3341403E-02	 2.3341403E-01	 4.5030675E+02	 4.6030675E+00	 1.2461010E-02	 1.2737733E-04	 6.1176832E-04	 6.2535391E-06	 2.0300000E+02
 9.8539256E-01	 1.4816818E-01	 1.1678454E-01	 1.1937034E-03	 2.1953810E-02	 4.8196977E-04	 1.3470348E-05	 1.3768603E-07	 2.9572545E-07	 3.0227329E-09	 1.4816818E-01	 1.4816818E+00	 4.2405767E+01	 4.2405767E+00	 2.3581698E-02	 2.3581698E-01	 4.5163790E+02	 4.6163790E+00	 1.2497846E-02	 1.2774568E-04	 6.1357676E-04	 6.2716235E-06	 2.1100000E+02
