# File Encoding (File origin in Excel)	US-ASCII
# Integrated with GSAS-II version	3485
# Via integrateGSASII version	0.2 revision:166 
# Filename	an-3-17-1-try2/plot_files/an-3-17-1-try2_hs104_211_0177.txt
# SPEC date/time stamp	Wed Mar 02 23:31:06 2022
# SPEC Unix Epoch time (sec since Jan 1,1970 UTC)	1646285466.367
# Rayonix Save date/time stamp	03/02 23:31:05.000000 2022
# Rayonix Detector Name	MX170HS S/N:104
# Rayonix Detector Type	MX170HS via MR-AD
# Rayonix File Comments Template	*sec* *cntr1* *cntr3* *atten* *samp_h* *samp_v* *sphi* *sx* *sy* *i_h* *tpos* *load* *bpos* *t1* *t2* *t3* *t4* *t5* *gctc1* *gctc2* *gctc3* *gctc4* *gctc5* *gcnm3* *stage* *index*
# Rayonix File Comments	1 722847 147768 0 -0.9271 -38.3311 0 0 -0.36 0 109.652 185.092 45.5537 66.303 74.604 121.887 626.865 1527.63 71.0098 70.5143 70.1469 23.8399 1417.58 13.1668 hotcap_stage 5
# Rayonix Dataset Comments	
# Rayonix Readout Mode	2.0
# X pixel size (mm)	0.17720
# Y pixel size (mm)	0.17720
# X binning	4
# Y binning	4
# Image filename	../hs104/an-3-17-1-try2/an-3-17-1-try2_hs104_211_0177.tif
# Image AcquireTime (s)	1.00200
# Exposure Time (s)	1.00000
# Incident detector intensity (pAs)	36142.35000
# Incident detector dark (pAs)	5.34000
# Transmitted detector intensity (pAs)	738840.00000
# Transmitted detector dark (pAs)	291.00000
# Wavelength (Angstrom)	0.7293
# Geometry calibration standard	Spun Si 7200 line/mm grat
# Sample to detector distance (mm)	8505.0
# X-coordinate location of direct beam (mm)	32.45400
# Y-coordinate location of direct beam (mm)	137.08000
# X-coordinate location of direct beam (pix)	183.15
# Y-coordinate location of direct beam (pix)	773.59
# Tilt plane rotation angle (degrees)	0.000
# Tilt angle (degrees)	0.000
# Detector Azimuth Offset (degrees)	0.000
# Mask used for integration (GSASII immask file)	hs104_20210921.immask
# Intensity calibration standard	Glassy Carbon II-B Kathy
# Polarization correction applied	0.99
# Calibration factor	1508.110
# Sample thickness (cm)	0.100
# Lowest integrated 2-theta	0.016
# Highest integrated 2-theta	1.300
# Number of integrated 2-theta bins	1075
# Width of 2-theta integrated bins (degrees)	0.00119
# Width on detector at 2-theta=0 (mm)	0.17730
# Center of Azimuth range (degrees)	315.000
# Size of Azimuth range (degrees)	120.000
# Uncertainty Estimation Method	Maximum of Poisson = sqrt(summed intensity/N^2), standard error of mean = sqrt(1/(N^2-N)*(Ij-<I>)^2)), or 1% of intensity
# Dark Subtracted	10.0
# 2theta (degrees)	q (1/A)	I (1/cm)	sigma(I)	q^2 (1/A^2)	q^4 (1/A^4)	I_ite*q^2	sigma(I_ite*q^2)	I_ite*q^4	sigma(I_ite*q^4)	q (1/A)	q (1/nm)	d (A)	d (nm)	1/d (1/A)	1/d (1/nm)	I_raw (relative units)	sigma(I_raw)	I_ioe (relative units)	sigma(I_ioe)	I_ite (relative units)	sigma(I_ite)	N (pixels)
 1.6597209E-02	 2.4956639E-03	 7.8093268E+02	 2.8954886E+01	 6.2283381E-06	 3.8792196E-11	 3.2251711E-07	 1.1958068E-08	 2.0087456E-12	 7.4478893E-14	 2.4956639E-03	 2.4956639E-02	 2.5176409E+03	 2.5176409E+02	 3.9719724E-04	 3.9719724E-03	 3.8243699E+04	 1.4179737E+03	 1.0582973E+00	 3.9238821E-02	 5.1782210E-02	 1.9199453E-03	 2.6000000E+01
 1.7791628E-02	 2.6752644E-03	 6.2950749E+02	 1.8397791E+01	 7.1570395E-06	 5.1223215E-11	 2.9874545E-07	 8.7310419E-09	 2.1381330E-12	 6.2488412E-14	 2.6752644E-03	 2.6752644E-02	 2.3486222E+03	 2.3486222E+02	 4.2578155E-04	 4.2578155E-03	 3.0828131E+04	 9.0097340E+02	 8.5309026E-01	 2.4932151E-02	 4.1741484E-02	 1.2199237E-03	 3.2000000E+01
 1.8986047E-02	 2.8548649E-03	 5.0759377E+02	 1.4687597E+01	 8.1502536E-06	 6.6426634E-11	 2.7431805E-07	 7.9375933E-09	 2.2357617E-12	 6.4693398E-14	 2.8548649E-03	 2.8548649E-02	 2.2008696E+03	 2.2008696E+02	 4.5436586E-04	 4.5436586E-03	 2.4857794E+04	 7.1927843E+02	 6.8787632E-01	 1.9904204E-02	 3.3657609E-02	 9.7390753E-04	 3.3000000E+01
 2.0180465E-02	 3.0344654E-03	 4.1591896E+02	 1.0901392E+01	 9.2079803E-06	 8.4786902E-11	 2.5394524E-07	 6.6560002E-09	 2.3383228E-12	 6.1288319E-14	 3.0344654E-03	 3.0344654E-02	 2.0706070E+03	 2.0706070E+02	 4.8295017E-04	 4.8295017E-03	 2.0368311E+04	 5.3386108E+02	 5.6364129E-01	 1.4773250E-02	 2.7578821E-02	 7.2285126E-04	 3.6000000E+01
 2.1374884E-02	 3.2140659E-03	 3.4378585E+02	 8.5734068E+00	 1.0330220E-05	 1.0671344E-10	 2.3548570E-07	 5.8725939E-09	 2.4326190E-12	 6.0665186E-14	 3.2140659E-03	 3.2140659E-02	 1.9549024E+03	 1.9549024E+02	 5.1153448E-04	 5.1153448E-03	 1.6835821E+04	 4.1985538E+02	 4.6588859E-01	 1.1618432E-02	 2.2795807E-02	 5.6848683E-04	 3.8000000E+01
 2.2569302E-02	 3.3936664E-03	 2.8800517E+02	 7.4977041E+00	 1.1516972E-05	 1.3264064E-10	 2.1994069E-07	 5.7257658E-09	 2.5330507E-12	 6.5943484E-14	 3.3936664E-03	 3.3936664E-02	 1.8514446E+03	 1.8514446E+02	 5.4011879E-04	 5.4011879E-03	 1.4104139E+04	 3.6717626E+02	 3.9029624E-01	 1.0160671E-02	 1.9097093E-02	 4.9715896E-04	 3.7000000E+01
 2.3763721E-02	 3.5732670E-03	 2.4299787E+02	 5.2319055E+00	 1.2768237E-05	 1.6302787E-10	 2.0573130E-07	 4.4295315E-09	 2.6268259E-12	 5.6557307E-14	 3.5732670E-03	 3.5732670E-02	 1.7583868E+03	 1.7583868E+02	 5.6870310E-04	 5.6870310E-03	 1.1900049E+04	 2.5621596E+02	 3.2930364E-01	 7.0901263E-03	 1.6112741E-02	 3.4691803E-04	 4.4000000E+01
 2.4958140E-02	 3.7528675E-03	 2.0628102E+02	 4.4605092E+00	 1.4084014E-05	 1.9835946E-10	 1.9264276E-07	 4.1656030E-09	 2.7131834E-12	 5.8668412E-14	 3.7528675E-03	 3.7528675E-02	 1.6742359E+03	 1.6742359E+02	 5.9728741E-04	 5.9728741E-03	 1.0101958E+04	 2.1843928E+02	 2.7954604E-01	 6.0447525E-03	 1.3678115E-02	 2.9576816E-04	 4.4000000E+01
 2.6152558E-02	 3.9324680E-03	 1.7540096E+02	 3.5522022E+00	 1.5464304E-05	 2.3914471E-10	 1.7985783E-07	 3.6424622E-09	 2.7813762E-12	 5.6328144E-14	 3.9324680E-03	 3.9324680E-02	 1.5977715E+03	 1.5977715E+02	 6.2587172E-04	 6.2587172E-03	 8.5897054E+03	 1.7395783E+02	 2.3769829E-01	 4.8138412E-03	 1.1630515E-02	 2.3554000E-04	 4.7000000E+01
 2.7346977E-02	 4.1120685E-03	 1.5107260E+02	 3.1102112E+00	 1.6909107E-05	 2.8591791E-10	 1.6938438E-07	 3.4872054E-09	 2.8641387E-12	 5.8965531E-14	 4.1120685E-03	 4.1120685E-02	 1.5279865E+03	 1.5279865E+02	 6.5445603E-04	 6.5445603E-03	 7.3983010E+03	 1.5231272E+02	 2.0472919E-01	 4.2148678E-03	 1.0017346E-02	 2.0623238E-04	 4.7000000E+01
